"Min,Max,Modal Price from Maharashtra,Buldhana[Bajra(Pearl Millet/Cumbu)],Chikali from 01-Jan-2010To23-Oct-2020 (Total-50) (Total-50)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1400,1200,7-Oct-20
2,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1400,1200,6-Oct-20
3,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1200,1100,11-Sep-20
4,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1850,1650,21-May-20
5,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1900,1700,20-May-20
6,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1700,1625,19-May-20
7,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1921,1861,18-May-20
8,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1950,1825,6-May-20
9,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,1751,1751,7-Sep-18
10,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1451,1325,22-Nov-17
11,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1025,1100,1065,5-Oct-17
12,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1200,1150,3-Oct-17
13,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1100,1050,27-Sep-17
14,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1200,1150,14-Sep-17
15,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1200,1175,12-Sep-17
16,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1200,1125,11-Sep-17
17,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1150,1100,8-Sep-17
18,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1250,1175,28-Aug-17
19,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1150,1125,23-Aug-17
20,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1101,1215,1160,3-Aug-17
21,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1100,1050,2-Aug-17
22,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1011,1100,1055,26-Jul-17
23,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1100,1075,22-Jul-17
24,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1001,950,18-Jul-17
25,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1150,1075,10-Jun-17
26,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1051,1251,1151,29-May-17
27,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1251,1225,18-May-17
28,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1305,1275,16-May-17
29,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1300,11-May-17
30,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,8-May-17
31,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,6-May-17
32,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1650,1575,5-May-17
33,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,4-May-17
34,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1900,1700,8-Apr-17
35,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1600,1450,28-Jul-16
36,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1500,1425,15-Jun-16
37,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1425,1425,1425,13-Jun-16
38,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1500,1425,26-May-16
39,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1450,1400,23-May-16
40,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1375,1565,1470,19-May-16
41,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1750,1575,14-May-16
42,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1370,1600,1485,13-May-16
43,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1601,1750,1675,12-May-16
44,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1825,1762,11-May-16
45,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1800,1750,10-May-16
46,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1375,1565,1470,4-May-16
47,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1601,1450,16-Mar-16
48,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,910,880,9-Feb-10
49,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1000,950,25-Jan-10
50,Buldhana,Chikali,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,13-Jan-10
