"Min,Max,Modal Price from Maharashtra,Pune[Bajra(Pearl Millet/Cumbu)],Indapur from 01-Jan-2010To23-Oct-2020 (Total-156) (Total-156)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1800,1651,25-May-20
2,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,2181,2100,9-Mar-20
3,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2300,2951,2700,5-May-19
4,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1700,1400,21-Jun-18
5,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1251,1251,28-May-18
6,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1751,1651,19-Jun-17
7,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1625,1770,1700,22-May-17
8,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1301,1951,1700,15-Dec-16
9,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1800,1500,8-Dec-16
10,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1800,1700,7-Nov-16
11,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1900,1351,20-Oct-16
12,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1775,1300,17-Oct-16
13,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2000,1700,12-Sep-16
14,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2011,1801,8-Sep-16
15,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1875,2301,2100,5-Sep-16
16,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1551,1800,1751,1-Sep-16
17,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1551,1925,1925,29-Aug-16
18,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1925,1925,25-Aug-16
19,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1900,1751,11-Aug-16
20,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2000,1775,1-Aug-16
21,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1975,1800,5-Jul-16
22,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1855,1900,1855,23-Jun-16
23,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1611,1900,1875,20-Jun-16
24,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1901,1901,13-Jun-16
25,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1701,1875,1861,9-Jun-16
26,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1871,1821,6-Jun-16
27,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1950,1851,2-Jun-16
28,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1931,1800,30-May-16
29,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2001,1951,26-May-16
30,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2025,1900,23-May-16
31,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2150,2000,22-May-16
32,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,2011,1951,19-May-16
33,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1951,2100,2001,16-May-16
34,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,2041,1811,12-May-16
35,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,5-May-16
36,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2051,2051,2-May-16
37,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,28-Apr-16
38,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,2001,1900,25-Apr-16
39,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2000,1700,21-Apr-16
40,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1821,1951,1951,14-Apr-16
41,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2021,1800,11-Apr-16
42,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1861,2000,1975,7-Apr-16
43,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1951,1951,1951,4-Apr-16
44,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1790,1790,1790,21-Mar-16
45,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,17-Mar-16
46,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1600,3-Mar-16
47,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1625,1625,1625,22-Feb-16
48,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1341,1761,1621,15-Feb-16
49,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1761,1591,11-Feb-16
50,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1751,1725,4-Feb-16
51,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2011,1600,1-Feb-16
52,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1611,1671,1671,7-Jan-16
53,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1635,1631,28-Dec-15
54,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1611,1700,1611,24-Dec-15
55,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1900,1700,14-Dec-15
56,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1411,1641,1551,10-Dec-15
57,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1431,2000,1651,7-Dec-15
58,Pune,Indapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1625,1611,3-Dec-15
