"Min,Max,Modal Price from Maharashtra,Nashik[Bajra(Pearl Millet/Cumbu)],Kalvan from 01-Jan-2010To23-Oct-2020 (Total-1200) (Total-1200)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,13-Oct-20
2,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1516,1151,12-Oct-20
3,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1001,1251,1011,10-Oct-20
4,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1051,1600,1151,8-Oct-20
5,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1051,1515,1300,6-Oct-20
6,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1075,1052,5-Oct-20
7,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1061,1700,1151,1-Oct-20
8,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,952,1300,1051,24-Sep-20
9,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1401,1400,12-Sep-20
10,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1061,1251,1251,10-Sep-20
11,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1025,1100,1051,8-Sep-20
12,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1225,1225,1225,3-Sep-20
13,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1225,1051,31-Aug-20
14,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1041,1400,1251,28-Aug-20
15,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1351,1300,11-Aug-20
16,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1400,1341,8-Aug-20
17,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1400,1360,28-Jul-20
18,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1375,1280,27-Jul-20
19,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1200,1200,16-Jul-20
20,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1501,1601,1551,14-Jul-20
21,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1175,1200,1200,13-Jul-20
22,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1501,1651,1551,7-Jul-20
23,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,6-Jul-20
24,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1501,1501,1501,4-Jul-20
25,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1500,1451,3-Jul-20
26,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1501,1701,1601,2-Jul-20
27,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1501,1421,30-Jun-20
28,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1213,1252,1213,29-Jun-20
29,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1611,1355,25-Jun-20
30,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1342,1651,1575,23-Jun-20
31,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1600,1500,22-Jun-20
32,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1351,1351,20-Jun-20
33,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1275,1500,1275,19-Jun-20
34,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1211,1211,1211,18-Jun-20
35,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1635,1551,16-Jun-20
36,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1475,1451,15-Jun-20
37,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1551,13-Jun-20
38,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1700,1500,12-Jun-20
39,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1551,1500,11-Jun-20
40,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1551,1551,9-Jun-20
41,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1850,1800,8-Jun-20
42,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1950,1850,5-Jun-20
43,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,1851,1751,2-Jun-20
44,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1700,1601,1-Jun-20
45,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1701,1851,1801,28-May-20
46,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1726,1623,26-May-20
47,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1701,1701,1701,23-May-20
48,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,2000,1800,21-May-20
49,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,18-May-20
50,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1465,1465,1465,11-May-20
51,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2200,2200,17-Apr-20
52,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,20-Mar-20
53,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1400,1351,19-Mar-20
54,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1401,1500,1401,17-Mar-20
55,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,2101,1451,16-Mar-20
56,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1332,1352,1332,14-Mar-20
57,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1411,1500,1431,13-Mar-20
58,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1751,1700,12-Mar-20
59,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1451,1700,1600,7-Mar-20
60,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,2000,1800,6-Mar-20
61,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,2000,1677,5-Mar-20
62,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1451,1735,1561,3-Mar-20
63,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1551,1711,1600,2-Mar-20
64,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2051,1651,28-Feb-20
65,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1700,1651,27-Feb-20
66,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1352,1536,1400,25-Feb-20
67,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1482,1482,1482,20-Feb-20
68,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,2151,1600,17-Feb-20
69,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,13-Feb-20
70,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1451,1400,11-Feb-20
71,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1411,2151,1951,10-Feb-20
72,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,1651,1651,6-Feb-20
73,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1900,1658,4-Feb-20
74,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2251,1500,3-Feb-20
75,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1801,1801,1801,1-Feb-20
76,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1682,1682,1682,31-Jan-20
77,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1662,2011,1662,30-Jan-20
78,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1716,1500,27-Jan-20
79,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,2250,2250,2250,25-Jan-20
80,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2100,1686,23-Jan-20
81,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1951,2000,1951,17-Jan-20
82,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2475,1651,14-Jan-20
83,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1800,1800,13-Jan-20
84,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1725,2600,2351,11-Jan-20
85,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1675,2452,2291,10-Jan-20
86,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,2357,1751,7-Jan-20
87,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1901,2100,2000,4-Jan-20
88,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2175,2022,3-Jan-20
89,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,2100,1700,2-Jan-20
90,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1901,2200,2000,30-Dec-19
91,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,1751,1751,28-Dec-19
92,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1851,2200,1977,27-Dec-19
93,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1701,1776,1726,26-Dec-19
94,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1777,2281,2000,24-Dec-19
95,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1711,2201,2000,23-Dec-19
96,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2600,2100,21-Dec-19
97,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,2021,2021,2021,20-Dec-19
98,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1752,2151,1977,17-Dec-19
99,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1711,2200,1901,16-Dec-19
100,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2201,1700,13-Dec-19
101,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2000,1851,9-Dec-19
102,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,2075,1952,6-Dec-19
103,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2100,1600,5-Dec-19
104,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,2100,2000,3-Dec-19
105,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2377,1951,2-Dec-19
106,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2500,2000,30-Nov-19
107,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1671,2251,2000,29-Nov-19
108,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2200,1651,28-Nov-19
109,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2700,2200,25-Nov-19
110,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,2375,2200,22-Nov-19
111,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2240,1751,21-Nov-19
112,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2400,2151,19-Nov-19
113,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1451,2500,2052,18-Nov-19
114,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1701,2301,2061,15-Nov-19
115,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,2001,1500,14-Nov-19
116,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2100,1851,12-Nov-19
117,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,2251,1900,11-Nov-19
118,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1851,2381,2200,8-Nov-19
119,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2300,2151,7-Nov-19
120,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,2251,2452,2300,5-Nov-19
121,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2100,2051,4-Nov-19
122,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1551,1851,1751,22-Oct-19
123,Nashik,Kalvan,Bajra(Pearl Millet/Cumbu),Other,FAQ,1561,2200,1900,19-Oct-19
