"Min,Max,Modal Price from Maharashtra,Raigad[Bajra(Pearl Millet/Cumbu)],Karjat(Raigad) from 01-Jan-2010To23-Oct-2020 (Total-429) (Total-429)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1500,1250,14-Oct-20
2,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1500,1350,13-Oct-20
3,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1500,1250,12-Oct-20
4,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1450,1300,10-Oct-20
5,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1800,1400,9-Oct-20
6,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1500,1350,8-Oct-20
7,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1635,1400,7-Oct-20
8,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1400,6-Oct-20
9,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1250,5-Oct-20
10,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1500,1350,3-Oct-20
11,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1500,1350,2-Oct-20
12,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1300,1-Oct-20
13,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1300,30-Sep-20
14,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1500,1200,25-Sep-20
15,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1500,1300,24-Sep-20
16,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1500,1300,23-Sep-20
17,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1500,1350,22-Sep-20
18,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1300,21-Sep-20
19,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1300,20-Sep-20
20,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1400,19-Sep-20
21,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1500,1250,18-Sep-20
22,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,17-Sep-20
23,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1300,16-Sep-20
24,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1200,15-Sep-20
25,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1200,14-Sep-20
26,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1200,13-Sep-20
27,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1200,12-Sep-20
28,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1200,1100,11-Sep-20
29,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1350,1250,10-Sep-20
30,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1150,9-Sep-20
31,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1300,8-Sep-20
32,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1200,7-Sep-20
33,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1200,5-Sep-20
34,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1200,1200,4-Sep-20
35,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1400,3-Sep-20
36,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1200,2-Sep-20
37,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1200,31-Aug-20
38,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,29-Aug-20
39,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1500,1300,28-Aug-20
40,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1600,1400,27-Aug-20
41,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1500,1300,24-Aug-20
42,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1600,1600,20-Aug-20
43,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1200,1200,19-Aug-20
44,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,17-Aug-20
45,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,14-Aug-20
46,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,12-Aug-20
47,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1800,1600,10-Aug-20
48,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1750,1750,7-Aug-20
49,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1800,1400,20-Jul-20
50,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1800,1550,13-Jul-20
51,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1525,1752,1650,10-Jul-20
52,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,2000,1600,8-Jul-20
53,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1700,1500,6-Jul-20
54,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1650,1625,3-Jul-20
55,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,2-Jul-20
56,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1150,1150,1-Jul-20
57,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1900,1700,29-Jun-20
58,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1801,1801,1801,26-Jun-20
59,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,24-Jun-20
60,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,19-Jun-20
61,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,17-Jun-20
62,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2000,1900,15-Jun-20
63,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,11-May-20
64,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,19-Mar-20
65,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1925,1860,18-Mar-20
66,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1700,1600,16-Mar-20
67,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2102,1900,13-Mar-20
68,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,2200,1900,11-Mar-20
69,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2000,1900,9-Mar-20
70,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2250,2250,6-Mar-20
71,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2200,2000,4-Mar-20
72,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2280,2000,2-Mar-20
73,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2100,2050,28-Feb-20
74,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2100,2100,27-Feb-20
75,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2200,2000,26-Feb-20
76,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2300,1950,24-Feb-20
77,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2200,2200,21-Feb-20
78,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2275,2000,19-Feb-20
79,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2211,2000,12-Feb-20
80,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2250,2000,10-Feb-20
81,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2050,2000,7-Feb-20
82,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2100,2100,6-Feb-20
83,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2050,2000,5-Feb-20
84,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2301,1900,31-Jan-20
85,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,2000,1795,30-Jan-20
86,Raigad,Karjat(Raigad),Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2180,1910,29-Jan-20
