"Min,Max,Modal Price from Maharashtra,Sholapur[Bajra(Pearl Millet/Cumbu)],Karmala from 01-Jan-2010To23-Oct-2020 (Total-315) (Total-315)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1500,1351,12-Oct-20
2,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,9-Oct-20
3,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1400,1351,8-Oct-20
4,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1600,1200,7-Oct-20
5,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1041,1301,1225,6-Oct-20
6,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1611,1300,5-Oct-20
7,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1100,1-Oct-20
8,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1151,30-Sep-20
9,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1200,29-Sep-20
10,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1161,1300,1161,28-Sep-20
11,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1251,1251,25-Sep-20
12,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,1300,1000,24-Sep-20
13,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1325,1325,22-Sep-20
14,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,100,1225,1175,7-Sep-20
15,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1300,1300,4-Sep-20
16,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1225,1200,3-Sep-20
17,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1200,1200,28-Aug-20
18,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1500,1200,24-Aug-20
19,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1600,1200,14-Aug-20
20,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1300,1250,13-Aug-20
21,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1101,1400,1200,10-Aug-20
22,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1201,1400,1300,6-Aug-20
23,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1200,1000,4-Aug-20
24,Sholapur,Karmala,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1250,1250,30-Jul-20
