"Min,Max,Modal Price from Maharashtra,Nashik[Bajra(Pearl Millet/Cumbu)],Malegaon from 01-Jan-2010To23-Oct-2020 (Total-1637) (Total-1637)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1580,1260,14-Oct-20
2,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1140,1456,1266,13-Oct-20
3,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1641,1263,12-Oct-20
4,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1701,1270,10-Oct-20
5,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1390,1253,8-Oct-20
6,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1111,1660,1300,7-Oct-20
7,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1480,1252,6-Oct-20
8,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1501,1266,5-Oct-20
9,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1080,1520,1365,1-Oct-20
10,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1400,1253,30-Sep-20
11,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1011,1626,1201,29-Sep-20
12,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1411,1232,28-Sep-20
13,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1752,1312,26-Sep-20
14,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1111,1901,1261,24-Sep-20
15,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1401,1202,23-Sep-20
16,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1076,1375,1200,22-Sep-20
17,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1600,1261,21-Sep-20
18,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1080,1400,1150,19-Sep-20
19,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1400,1200,16-Sep-20
20,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1651,1261,15-Sep-20
21,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1601,1200,12-Sep-20
22,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1525,1226,8-Sep-20
23,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1611,1216,7-Sep-20
24,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1687,1261,5-Sep-20
25,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1601,1202,4-Sep-20
26,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1712,1230,2-Sep-20
27,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1192,1700,1408,20-Aug-20
28,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1156,1901,1401,19-Aug-20
29,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1835,1400,17-Aug-20
30,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1520,1300,13-Aug-20
31,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1120,1774,1300,11-Aug-20
32,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1827,1345,10-Aug-20
33,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1700,1355,8-Aug-20
34,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1135,1800,1300,6-Aug-20
35,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1120,1506,1341,4-Aug-20
36,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1975,1351,30-Jul-20
37,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1601,1301,29-Jul-20
38,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1121,1812,1413,28-Jul-20
39,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1965,1461,27-Jul-20
40,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1740,1430,23-Jul-20
41,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1816,1400,22-Jul-20
42,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1141,1941,1521,21-Jul-20
43,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1052,1965,1400,18-Jul-20
44,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1952,1500,16-Jul-20
45,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1156,1668,1438,15-Jul-20
46,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1636,1422,14-Jul-20
47,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1652,1451,13-Jul-20
48,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1142,2000,1491,11-Jul-20
49,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1156,2000,1501,9-Jul-20
50,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1516,1382,8-Jul-20
51,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1180,1664,1351,7-Jul-20
52,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1160,1751,1325,6-Jul-20
53,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1198,2001,1451,4-Jul-20
54,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1151,1635,1476,2-Jul-20
55,Nashik,Malegaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1600,1400,30-Jun-20
