"Min,Max,Modal Price from Maharashtra,Parbhani[Bajra(Pearl Millet/Cumbu)],Manwat from 01-Jan-2010To23-Oct-2020 (Total-45) (Total-45)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1781,1900,1781,16-May-20
2,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1850,1911,1900,14-May-20
3,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,8-May-20
4,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1950,1700,6-May-20
5,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1725,1855,1725,3-Jan-20
6,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,2400,2400,2400,31-May-19
7,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,2351,2351,2351,17-May-19
8,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,2476,2476,2476,10-May-19
9,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1752,1752,1752,5-Oct-18
10,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1712,1712,1712,25-Sep-18
11,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1499,1499,1499,18-Jun-18
12,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1370,1370,1370,31-May-18
13,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1560,1500,25-May-18
14,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,23-May-18
15,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,21-May-18
16,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,16-May-18
17,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1401,1401,1401,29-Dec-17
18,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1575,1575,1575,27-Oct-17
19,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,25-Oct-17
20,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,7-Sep-17
21,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,3-Dec-16
22,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1801,1801,1801,24-Aug-16
23,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1766,1766,1766,10-Aug-16
24,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,24-Jun-16
25,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1655,1655,20-Jun-16
26,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1700,1650,3-Jun-16
27,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1850,1600,30-May-16
28,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1820,1761,12-Nov-15
29,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1650,1500,2-Nov-15
30,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,19-Oct-15
31,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1070,1070,1070,20-Jun-12
32,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1326,1326,1326,26-Dec-11
33,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1140,1140,1140,15-Nov-11
34,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1075,1350,1150,14-Nov-11
35,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1130,1200,1130,11-Nov-11
36,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1252,1250,5-Nov-11
37,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1051,1250,1150,2-Nov-11
38,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1252,1200,27-Oct-11
39,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1150,1150,20-Oct-11
40,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1101,1350,1201,19-Oct-11
41,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1150,1150,18-Oct-11
42,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1271,1401,1350,17-Oct-11
43,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1350,1350,10-Oct-11
44,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,7-Oct-11
45,Parbhani,Manwat,Bajra(Pearl Millet/Cumbu),Other,FAQ,1061,1061,1061,21-Dec-10
