"Min,Max,Modal Price from Maharashtra,Nashik[Bajra(Pearl Millet/Cumbu)],Nandgaon from 01-Jan-2010To23-Oct-2020 (Total-1358) (Total-1358)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1120,1399,1200,15-Oct-20
2,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1142,1451,1251,14-Oct-20
3,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1143,1390,1225,13-Oct-20
4,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1080,1546,1211,12-Oct-20
5,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1131,1651,1250,9-Oct-20
6,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1139,1440,1225,8-Oct-20
7,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1076,1550,1191,7-Oct-20
8,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1401,1171,6-Oct-20
9,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1130,1541,1225,5-Oct-20
10,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1052,1645,1150,3-Oct-20
11,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1704,1221,1-Oct-20
12,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1150,30-Sep-20
13,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1099,1323,1151,29-Sep-20
14,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,1282,1135,28-Sep-20
15,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1330,1151,26-Sep-20
16,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1285,1151,25-Sep-20
17,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1081,1406,1131,23-Sep-20
18,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1390,1111,22-Sep-20
19,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1070,1259,1131,21-Sep-20
20,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1061,1409,1151,18-Sep-20
21,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1120,1290,1175,16-Sep-20
22,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1296,1151,15-Sep-20
23,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1251,1151,14-Sep-20
24,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1120,1231,1181,12-Sep-20
25,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1075,1251,1150,11-Sep-20
26,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1272,1161,10-Sep-20
27,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1323,1191,9-Sep-20
28,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1326,1151,8-Sep-20
29,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1060,1291,1161,7-Sep-20
30,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1030,1300,1181,5-Sep-20
31,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1320,1221,4-Sep-20
32,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1103,1487,1225,3-Sep-20
33,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1099,1300,1191,2-Sep-20
34,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,901,1482,1221,29-Aug-20
35,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1113,1105,28-Aug-20
36,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1081,1421,1181,27-Aug-20
37,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1450,1150,26-Aug-20
38,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1350,1181,25-Aug-20
39,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1110,1426,1225,24-Aug-20
40,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1157,1431,1225,20-Aug-20
41,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1140,1393,1225,19-Aug-20
42,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1370,1191,17-Aug-20
43,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1391,1191,14-Aug-20
