"Min,Max,Modal Price from Maharashtra,Osmanabad[Bajra(Pearl Millet/Cumbu)],Paranda from 01-Jan-2010To23-Oct-2020 (Total-31) (Total-31)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,22-Sep-20
2,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,9-Sep-20
3,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,5-Sep-20
4,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1100,1100,20-Aug-20
5,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2100,2100,12-Feb-20
6,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2330,2330,2330,3-Feb-20
7,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2450,2370,10-Jan-20
8,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2250,2200,8-Jan-20
9,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1750,1750,1-Jan-20
10,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2200,2100,30-Dec-19
11,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2350,2350,2350,27-Dec-19
12,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2170,2170,2170,26-Dec-19
13,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2000,2000,20-Dec-19
14,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2200,2200,18-Dec-19
15,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2250,1950,16-Dec-19
16,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1850,1990,1850,13-Dec-19
17,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,2140,1740,11-Dec-19
18,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2225,2000,7-Dec-19
19,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,2225,2200,4-Dec-19
20,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2200,2010,2-Dec-19
21,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2300,2200,29-Nov-19
22,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1950,1810,22-Nov-19
23,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1490,1980,1700,20-Nov-19
24,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2230,2100,11-Nov-19
25,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1950,1920,25-Oct-19
26,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1840,1750,23-Oct-19
27,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1850,1980,1900,22-Oct-19
28,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1900,1850,14-Oct-19
29,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,28-Jan-19
30,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1700,1500,23-Jan-19
31,Osmanabad,Paranda,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1430,1425,23-Aug-13
