"Min,Max,Modal Price from Maharashtra,Jalgaon[Coriander(Leaves)],Chalisgaon from 01-Jan-2010To24-Oct-2020 (Total-21) (Total-21)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,900,2400,1450,22-Aug-16
2,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,850,2300,2000,20-Aug-16
3,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,900,2400,2000,19-Aug-16
4,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,900,2400,2000,16-Aug-16
5,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1900,3500,2350,13-Aug-16
6,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1900,3400,2400,12-Aug-16
7,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1975,3450,2400,11-Aug-16
8,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,800,2100,1500,10-Aug-16
9,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,750,2000,1300,9-Aug-16
10,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1400,2500,1500,8-Aug-16
11,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1600,2800,2000,7-Aug-16
12,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,800,2150,1400,5-Aug-16
13,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1700,3000,2000,4-Aug-16
14,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1000,3000,2000,3-Aug-16
15,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1200,3000,2000,2-Aug-16
16,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,2000,3400,2400,1-Aug-16
17,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1980,44425,3000,29-Jul-16
18,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1900,4000,3000,28-Jul-16
19,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1200,2950,1700,27-Jul-16
20,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1450,3000,1950,26-Jul-16
21,Jalgaon,Chalisgaon,Coriander(Leaves),Other,FAQ,1300,2000,1500,30-Jan-16
