"Min,Max,Modal Price from Maharashtra,Thane[Coriander(Leaves)],Kalyan from 01-Jan-2010To24-Oct-2020 (Total-920) (Total-920)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,25,22,8-Oct-20
2,Thane,Kalyan,Coriander(Leaves),Other,FAQ,2800,3000,2900,6-Oct-20
3,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,2-Oct-20
4,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,1-Oct-20
5,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,35,25,28-Sep-20
6,Thane,Kalyan,Coriander(Leaves),Other,FAQ,16,30,23,24-Sep-20
7,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,30,22,22-Sep-20
8,Thane,Kalyan,Coriander(Leaves),Other,FAQ,18,24,21,19-Sep-20
9,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,15-Sep-20
10,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,12-Sep-20
11,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,11-Sep-20
12,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,8-Sep-20
13,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,7-Sep-20
14,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,50,35,4-Sep-20
15,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,1-Sep-20
16,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,28-Aug-20
17,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,21-Aug-20
18,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,19-Aug-20
19,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,15-Aug-20
20,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,13-Aug-20
21,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,12-Aug-20
22,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,30,22,7-Aug-20
23,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,30,25,6-Aug-20
24,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,5-Aug-20
25,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,4-Aug-20
26,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,3-Aug-20
27,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,31-Jul-20
28,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,30-Jul-20
29,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,12,11,29-Jul-20
30,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,12,25-Jul-20
31,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,13,24-Jul-20
32,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,13,23-Jul-20
33,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,13,21-Jul-20
34,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,23-Jun-20
35,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,30,17,20-Jun-20
36,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,19-Jun-20
37,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,30,22,18-Jun-20
38,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,15-Jun-20
39,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,12-Jun-20
40,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,11-Jun-20
41,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,10-Jun-20
42,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,40,35,9-Jun-20
43,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,40,35,6-Jun-20
44,Thane,Kalyan,Coriander(Leaves),Other,FAQ,25,35,30,5-Jun-20
45,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,40,35,4-Jun-20
46,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,40,35,1-Jun-20
47,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,46,43,29-May-20
48,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,46,43,28-May-20
49,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,48,44,27-May-20
50,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,50,45,26-May-20
51,Thane,Kalyan,Coriander(Leaves),Other,FAQ,60,120,90,22-May-20
52,Thane,Kalyan,Coriander(Leaves),Other,FAQ,50,100,75,20-May-20
53,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,50,45,14-May-20
54,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,19-Mar-20
55,Thane,Kalyan,Coriander(Leaves),Other,FAQ,6,20,13,18-Mar-20
56,Thane,Kalyan,Coriander(Leaves),Other,FAQ,6,20,13,17-Mar-20
57,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,15-Mar-20
58,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,17,13-Mar-20
59,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,17,7-Mar-20
60,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,20,15,5-Mar-20
61,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,12,4-Mar-20
62,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,12,3-Mar-20
63,Thane,Kalyan,Coriander(Leaves),Other,FAQ,16,24,20,29-Feb-20
64,Thane,Kalyan,Coriander(Leaves),Other,FAQ,16,25,20,28-Feb-20
65,Thane,Kalyan,Coriander(Leaves),Other,FAQ,12,20,16,27-Feb-20
66,Thane,Kalyan,Coriander(Leaves),Other,FAQ,16,26,21,26-Feb-20
67,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,25-Feb-20
68,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,20,11,24-Feb-20
69,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,21-Feb-20
70,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,20-Feb-20
71,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,19-Feb-20
72,Thane,Kalyan,Coriander(Leaves),Other,FAQ,14,20,17,15-Feb-20
73,Thane,Kalyan,Coriander(Leaves),Other,FAQ,14,20,17,14-Feb-20
74,Thane,Kalyan,Coriander(Leaves),Other,FAQ,12,20,16,13-Feb-20
75,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,16,15,12-Feb-20
76,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,12,11-Feb-20
77,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,10-Feb-20
78,Thane,Kalyan,Coriander(Leaves),Other,FAQ,14,20,17,8-Feb-20
79,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,7-Feb-20
80,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,15,11,6-Feb-20
81,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,5-Feb-20
82,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,12,4-Feb-20
83,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,3-Feb-20
84,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,12,10,31-Jan-20
85,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,12,10,30-Jan-20
86,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,12,10,29-Jan-20
87,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,28-Jan-20
88,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,23-Jan-20
89,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,22-Jan-20
90,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,12,10,21-Jan-20
91,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,20-Jan-20
92,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,18-Jan-20
93,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,17-Jan-20
94,Thane,Kalyan,Coriander(Leaves),Other,FAQ,6,10,8,16-Jan-20
95,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,14-Jan-20
96,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,15,10,10-Jan-20
97,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,9-Jan-20
98,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,8-Jan-20
99,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,8,5,7-Jan-20
100,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,8,5,6-Jan-20
101,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,5-Jan-20
102,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,4-Jan-20
103,Thane,Kalyan,Coriander(Leaves),Other,FAQ,2,7,4,2-Jan-20
104,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,1-Jan-20
105,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,10,6,31-Dec-19
106,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,30-Dec-19
107,Thane,Kalyan,Coriander(Leaves),Other,FAQ,6,12,9,26-Dec-19
108,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,7,5,25-Dec-19
109,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,24-Dec-19
110,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,23-Dec-19
111,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,21-Dec-19
112,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,20-Dec-19
113,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,19-Dec-19
114,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,18-Dec-19
115,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,17-Dec-19
116,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,20,18,16-Dec-19
117,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,15,10,14-Dec-19
118,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,20,17,13-Dec-19
119,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,20,15,12-Dec-19
120,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,20,12,11-Dec-19
121,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,10-Dec-19
122,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,9-Dec-19
123,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,7-Dec-19
124,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,5-Dec-19
125,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,4-Dec-19
126,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,3-Dec-19
127,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,2-Dec-19
128,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,30-Nov-19
129,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,17,29-Nov-19
130,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,18,27-Nov-19
131,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,25,18,26-Nov-19
132,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,24-Nov-19
133,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,22-Nov-19
134,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,21-Nov-19
135,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,15,20-Nov-19
136,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,15,19-Nov-19
137,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,18-Nov-19
138,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,16-Nov-19
139,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,80,55,15-Nov-19
140,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,40,35,14-Nov-19
141,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,40,30,13-Nov-19
142,Thane,Kalyan,Coriander(Leaves),Other,FAQ,25,30,27,11-Nov-19
143,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,9-Nov-19
144,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,8-Nov-19
145,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,50,40,7-Nov-19
146,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,90,60,6-Nov-19
147,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,90,60,5-Nov-19
148,Thane,Kalyan,Coriander(Leaves),Other,FAQ,30,90,60,4-Nov-19
149,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,30,25,2-Nov-19
150,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,50,32,1-Nov-19
151,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,15,12,30-Oct-19
152,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,18,14,29-Oct-19
153,Thane,Kalyan,Coriander(Leaves),Other,FAQ,12,20,16,24-Oct-19
154,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,23-Oct-19
155,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,19-Oct-19
156,Thane,Kalyan,Coriander(Leaves),Other,FAQ,15,25,20,17-Oct-19
157,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,30,20,15-Oct-19
158,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,20,12,14-Oct-19
159,Thane,Kalyan,Coriander(Leaves),Other,FAQ,20,26,23,11-Oct-19
160,Thane,Kalyan,Coriander(Leaves),Other,FAQ,18,24,21,10-Oct-19
161,Thane,Kalyan,Coriander(Leaves),Other,FAQ,18,24,21,9-Oct-19
162,Thane,Kalyan,Coriander(Leaves),Other,FAQ,18,24,21,7-Oct-19
163,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,20,15,5-Oct-19
164,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,18,14,4-Oct-19
165,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,12,10,3-Oct-19
166,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,1-Oct-19
167,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,20,14,27-Sep-19
168,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,20,14,26-Sep-19
169,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,20,14,25-Sep-19
170,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,15,12,24-Sep-19
171,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,15,10,23-Sep-19
172,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,21-Sep-19
173,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,20-Sep-19
174,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,19-Sep-19
175,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,18-Sep-19
176,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,17-Sep-19
177,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,18,14,16-Sep-19
178,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,16,13,13-Sep-19
179,Thane,Kalyan,Coriander(Leaves),Other,FAQ,10,16,13,11-Sep-19
180,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,8,6,9-Sep-19
181,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,8,6,6-Sep-19
182,Thane,Kalyan,Coriander(Leaves),Other,FAQ,8,10,9,5-Sep-19
183,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,8,4-Sep-19
184,Thane,Kalyan,Coriander(Leaves),Other,FAQ,3,6,4,3-Sep-19
185,Thane,Kalyan,Coriander(Leaves),Other,FAQ,6,10,8,2-Sep-19
186,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,31-Aug-19
187,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,8,6,29-Aug-19
188,Thane,Kalyan,Coriander(Leaves),Other,FAQ,5,10,7,28-Aug-19
189,Thane,Kalyan,Coriander(Leaves),Other,FAQ,40,80,60,27-Aug-19
