"Min,Max,Modal Price from Maharashtra,Pune[Coriander(Leaves)],Khed(Chakan) from 01-Jan-2010To24-Oct-2020 (Total-1764) (Total-1764)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1500,1000,7-Aug-20
2,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,800,1500,1000,6-Aug-20
3,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1000,1500,1200,5-Aug-20
4,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1000,1500,1200,4-Aug-20
5,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,800,2-Aug-20
6,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,700,1500,1000,1-Aug-20
7,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1000,2000,1500,24-Jul-20
8,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1200,800,26-Jun-20
9,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1500,1000,25-Jun-20
10,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1500,1000,24-Jun-20
11,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,27-May-20
12,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1800,3000,2500,24-May-20
13,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,23-May-20
14,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,3000,2300,22-May-20
15,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,21-May-20
16,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,20-May-20
17,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,19-May-20
18,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,9-May-20
19,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,1500,2500,2000,7-May-20
20,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,700,2-Apr-20
21,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,600,400,31-Mar-20
22,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,600,500,18-Mar-20
23,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1200,900,12-Mar-20
24,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1200,900,11-Mar-20
25,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1200,900,10-Mar-20
26,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,700,1400,1050,5-Mar-20
27,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1200,800,27-Feb-20
28,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,800,26-Feb-20
29,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,750,22-Feb-20
30,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,800,1200,1000,21-Feb-20
31,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1200,900,19-Feb-20
32,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,750,18-Feb-20
33,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,800,600,13-Feb-20
34,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,800,650,12-Feb-20
35,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,750,11-Feb-20
36,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,800,600,7-Feb-20
37,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,800,6-Feb-20
38,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,800,600,5-Feb-20
39,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,600,1000,800,4-Feb-20
40,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,500,1000,750,2-Feb-20
41,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,800,600,1-Feb-20
42,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,600,450,28-Jan-20
43,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,24-Jan-20
44,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,600,450,23-Jan-20
45,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,400,600,500,22-Jan-20
46,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,21-Jan-20
47,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,100,500,300,18-Jan-20
48,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,17-Jan-20
49,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,16-Jan-20
50,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,14-Jan-20
51,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,11-Jan-20
52,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,10-Jan-20
53,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,9-Jan-20
54,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,7-Jan-20
55,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,5-Jan-20
56,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,300,500,400,4-Jan-20
57,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,3-Jan-20
58,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,500,350,2-Jan-20
59,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,500,350,1-Jan-20
60,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,31-Dec-19
61,Pune,Khed(Chakan),Coriander(Leaves),Other,FAQ,200,400,300,29-Dec-19
