"Min,Max,Modal Price from Maharashtra,Nashik[Coriander(Leaves)],Manmad from 01-Jan-2010To24-Oct-2020 (Total-11) (Total-11)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Manmad,Coriander(Leaves),Other,FAQ,1200,2000,1600,1-Apr-20
2,Nashik,Manmad,Coriander(Leaves),Other,FAQ,500,1040,800,31-Mar-20
3,Nashik,Manmad,Coriander(Leaves),Other,FAQ,1600,2400,1932,30-Mar-20
4,Nashik,Manmad,Coriander(Leaves),Other,FAQ,1280,4000,2400,28-Mar-20
5,Nashik,Manmad,Coriander(Leaves),Other,FAQ,6000,6000,6000,27-Mar-20
6,Nashik,Manmad,Coriander(Leaves),Other,FAQ,300,700,600,26-Mar-20
7,Nashik,Manmad,Coriander(Leaves),Other,FAQ,300,1465,1095,24-Jul-17
8,Nashik,Manmad,Coriander(Leaves),Other,FAQ,455,550,500,8-Jun-17
9,Nashik,Manmad,Coriander(Leaves),Other,FAQ,675,700,675,7-Jun-17
10,Nashik,Manmad,Coriander(Leaves),Other,FAQ,335,675,460,27-Jul-16
11,Nashik,Manmad,Coriander(Leaves),Other,FAQ,800,800,800,19-Jul-16
