"Min,Max,Modal Price from Maharashtra,Sangli[Coriander(Leaves)],Palus from 01-Jan-2010To24-Oct-2020 (Total-24) (Total-24)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,3,2,5-Mar-19
2,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,3,2,3-Mar-19
3,Sangli,Palus,Coriander(Leaves),Other,FAQ,3,4,3,26-Feb-19
4,Sangli,Palus,Coriander(Leaves),Other,FAQ,400,400,400,22-Feb-19
5,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,4,3,27-Mar-18
6,Sangli,Palus,Coriander(Leaves),Other,FAQ,4,6,5,25-Mar-18
7,Sangli,Palus,Coriander(Leaves),Other,FAQ,3,5,4,20-Mar-18
8,Sangli,Palus,Coriander(Leaves),Other,FAQ,3,5,4,6-Mar-18
9,Sangli,Palus,Coriander(Leaves),Other,FAQ,3,5,4,2-Mar-18
10,Sangli,Palus,Coriander(Leaves),Other,FAQ,4,6,6,27-Feb-18
11,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,4,3,20-Feb-18
12,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,4,3,16-Feb-18
13,Sangli,Palus,Coriander(Leaves),Other,FAQ,1,3,2,13-Feb-18
14,Sangli,Palus,Coriander(Leaves),Other,FAQ,400,650,500,23-Dec-16
15,Sangli,Palus,Coriander(Leaves),Other,FAQ,2,3,2,5-Aug-16
16,Sangli,Palus,Coriander(Leaves),Other,FAQ,5,10,7,29-Jul-16
17,Sangli,Palus,Coriander(Leaves),Other,FAQ,3,5,4,22-Jul-16
18,Sangli,Palus,Coriander(Leaves),Other,FAQ,190,210,200,16-Feb-16
19,Sangli,Palus,Coriander(Leaves),Other,FAQ,350,420,400,2-Feb-16
20,Sangli,Palus,Coriander(Leaves),Other,FAQ,4,6,5,22-Jan-16
21,Sangli,Palus,Coriander(Leaves),Other,FAQ,500,600,500,5-Jan-16
22,Sangli,Palus,Coriander(Leaves),Other,FAQ,310,1000,700,1-Jan-16
23,Sangli,Palus,Coriander(Leaves),Other,FAQ,650,700,675,29-Dec-15
24,Sangli,Palus,Coriander(Leaves),Other,FAQ,5,7,6,25-Dec-15
