"Min,Max,Modal Price from Maharashtra,Satara[Coriander(Leaves)],Patan from 01-Jan-2010To24-Oct-2020 (Total-1682) (Total-1682)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Patan,Coriander(Leaves),Other,FAQ,7,9,8,14-Oct-20
2,Satara,Patan,Coriander(Leaves),Other,FAQ,200,300,200,12-Oct-20
3,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,9-Oct-20
4,Satara,Patan,Coriander(Leaves),Other,FAQ,16,20,18,7-Oct-20
5,Satara,Patan,Coriander(Leaves),Other,FAQ,10,16,13,6-Oct-20
6,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,5-Oct-20
7,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,2-Oct-20
8,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,30-Sep-20
9,Satara,Patan,Coriander(Leaves),Other,FAQ,10,12,11,28-Sep-20
10,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,25-Sep-20
11,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,23-Sep-20
12,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,22-Sep-20
13,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,21-Sep-20
14,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,19-Sep-20
15,Satara,Patan,Coriander(Leaves),Other,FAQ,6,10,8,18-Sep-20
16,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,16-Sep-20
17,Satara,Patan,Coriander(Leaves),Other,FAQ,500,600,550,14-Sep-20
18,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,12-Sep-20
19,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,11-Sep-20
20,Satara,Patan,Coriander(Leaves),Other,FAQ,15,17,16,8-Sep-20
21,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,7-Sep-20
22,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,5-Sep-20
23,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,4-Sep-20
24,Satara,Patan,Coriander(Leaves),Other,FAQ,18,20,19,2-Sep-20
25,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,31-Aug-20
26,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,29-Aug-20
27,Satara,Patan,Coriander(Leaves),Other,FAQ,15,25,20,25-Aug-20
28,Satara,Patan,Coriander(Leaves),Other,FAQ,20,24,22,24-Aug-20
29,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,22-Aug-20
30,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,18-Aug-20
31,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,15-Aug-20
32,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,10-Aug-20
33,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,8-Aug-20
34,Satara,Patan,Coriander(Leaves),Other,FAQ,6,8,7,7-Aug-20
35,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,5-Aug-20
36,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,3-Aug-20
37,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,1-Aug-20
38,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,31-Jul-20
39,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,29-Jul-20
40,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,28-Jul-20
41,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,27-Jul-20
42,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,25-Jul-20
43,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,24-Jul-20
44,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,22-Jul-20
45,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,15-Jul-20
46,Satara,Patan,Coriander(Leaves),Other,FAQ,8,10,9,14-Jul-20
47,Satara,Patan,Coriander(Leaves),Other,FAQ,3,5,4,13-Jul-20
48,Satara,Patan,Coriander(Leaves),Other,FAQ,3,5,4,10-Jul-20
49,Satara,Patan,Coriander(Leaves),Other,FAQ,3,5,4,8-Jul-20
50,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,6-Jul-20
51,Satara,Patan,Coriander(Leaves),Other,FAQ,4,6,5,3-Jul-20
52,Satara,Patan,Coriander(Leaves),Other,FAQ,5,7,6,1-Jul-20
53,Satara,Patan,Coriander(Leaves),Other,FAQ,6,10,8,29-Jun-20
54,Satara,Patan,Coriander(Leaves),Other,FAQ,700,900,800,26-Jun-20
55,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,24-Jun-20
56,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,23-Jun-20
57,Satara,Patan,Coriander(Leaves),Other,FAQ,6,10,8,22-Jun-20
58,Satara,Patan,Coriander(Leaves),Other,FAQ,8,12,10,20-Jun-20
59,Satara,Patan,Coriander(Leaves),Other,FAQ,8,12,10,19-Jun-20
60,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,17-Jun-20
61,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,16-Jun-20
62,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,15-Jun-20
63,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,12-Jun-20
64,Satara,Patan,Coriander(Leaves),Other,FAQ,10,16,13,10-Jun-20
65,Satara,Patan,Coriander(Leaves),Other,FAQ,8,12,10,9-Jun-20
66,Satara,Patan,Coriander(Leaves),Other,FAQ,800,1200,1000,8-Jun-20
67,Satara,Patan,Coriander(Leaves),Other,FAQ,10,14,12,5-Jun-20
68,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,3-Jun-20
69,Satara,Patan,Coriander(Leaves),Other,FAQ,14,18,16,1-Jun-20
70,Satara,Patan,Coriander(Leaves),Other,FAQ,18,22,20,27-May-20
71,Satara,Patan,Coriander(Leaves),Other,FAQ,15,20,17,26-May-20
72,Satara,Patan,Coriander(Leaves),Other,FAQ,15,25,20,25-May-20
73,Satara,Patan,Coriander(Leaves),Other,FAQ,20,24,22,20-May-20
74,Satara,Patan,Coriander(Leaves),Other,FAQ,15,17,16,15-May-20
