"Min,Max,Modal Price from Maharashtra,Satara[Coriander(Leaves)],Satara from 01-Jan-2010To24-Oct-2020 (Total-149) (Total-149)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Satara,Coriander(Leaves),Other,FAQ,4,5,4,28-Sep-16
2,Satara,Satara,Coriander(Leaves),Other,FAQ,600,1000,800,18-Oct-15
3,Satara,Satara,Coriander(Leaves),Other,FAQ,500,1000,750,15-Oct-15
4,Satara,Satara,Coriander(Leaves),Other,FAQ,500,1000,750,14-Oct-15
5,Satara,Satara,Coriander(Leaves),Other,FAQ,500,1000,750,13-Oct-15
6,Satara,Satara,Coriander(Leaves),Other,FAQ,1000,2000,1500,26-May-15
7,Satara,Satara,Coriander(Leaves),Other,FAQ,200,400,300,21-Aug-12
8,Satara,Satara,Coriander(Leaves),Other,FAQ,200,400,300,19-Aug-12
9,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,29-Dec-11
10,Satara,Satara,Coriander(Leaves),Other,FAQ,300,400,350,16-Nov-11
11,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,15-Nov-11
12,Satara,Satara,Coriander(Leaves),Other,FAQ,400,500,450,19-Oct-11
13,Satara,Satara,Coriander(Leaves),Other,FAQ,400,600,500,16-Oct-11
14,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,21-Jul-11
15,Satara,Satara,Coriander(Leaves),Other,FAQ,100,150,125,6-Jul-11
16,Satara,Satara,Coriander(Leaves),Other,FAQ,100,150,125,5-Jul-11
17,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,27-Jan-11
18,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,18-Jan-11
19,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,30-Dec-10
20,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,23-Dec-10
21,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,19-Dec-10
22,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,30-Nov-10
23,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,23-Nov-10
24,Satara,Satara,Coriander(Leaves),Other,FAQ,100,300,150,18-Nov-10
25,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,15-Nov-10
26,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,14-Nov-10
27,Satara,Satara,Coriander(Leaves),Other,FAQ,400,600,500,4-Nov-10
28,Satara,Satara,Coriander(Leaves),Other,FAQ,400,800,600,1-Nov-10
29,Satara,Satara,Coriander(Leaves),Other,FAQ,400,800,600,31-Oct-10
30,Satara,Satara,Coriander(Leaves),Other,FAQ,400,800,600,30-Oct-10
31,Satara,Satara,Coriander(Leaves),Other,FAQ,400,500,450,28-Oct-10
32,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,25-Oct-10
33,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,10-Oct-10
34,Satara,Satara,Coriander(Leaves),Other,FAQ,200,500,350,9-Oct-10
35,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,3-Oct-10
36,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,2-Oct-10
37,Satara,Satara,Coriander(Leaves),Other,FAQ,100,300,200,29-Sep-10
38,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,27-Sep-10
39,Satara,Satara,Coriander(Leaves),Other,FAQ,100,200,150,26-Sep-10
40,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,23-Sep-10
41,Satara,Satara,Coriander(Leaves),Other,FAQ,150,250,200,21-Sep-10
42,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,19-Sep-10
43,Satara,Satara,Coriander(Leaves),Other,FAQ,200,400,300,18-Sep-10
44,Satara,Satara,Coriander(Leaves),Other,FAQ,200,300,250,15-Sep-10
45,Satara,Satara,Coriander(Leaves),Other,FAQ,300,400,350,12-Sep-10
46,Satara,Satara,Coriander(Leaves),Other,FAQ,300,700,500,8-Sep-10
47,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,7-Sep-10
48,Satara,Satara,Coriander(Leaves),Other,FAQ,300,500,400,6-Sep-10
49,Satara,Satara,Coriander(Leaves),Other,FAQ,200,500,350,2-Sep-10
