"Min,Max,Modal Price from Maharashtra,Satara[Coriander(Leaves)],Vai from 01-Jan-2010To24-Oct-2020 (Total-53) (Total-53)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Vai,Coriander(Leaves),Other,FAQ,400,600,500,27-Mar-17
2,Satara,Vai,Coriander(Leaves),Other,FAQ,250,400,300,20-Mar-17
3,Satara,Vai,Coriander(Leaves),Other,FAQ,400,500,450,9-Nov-16
4,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,740,5-Nov-16
5,Satara,Vai,Coriander(Leaves),Other,FAQ,600,800,750,25-Oct-16
6,Satara,Vai,Coriander(Leaves),Other,FAQ,800,1000,980,20-Aug-16
7,Satara,Vai,Coriander(Leaves),Other,FAQ,900,1200,1130,19-Aug-16
8,Satara,Vai,Coriander(Leaves),Other,FAQ,800,1000,900,2-Jul-16
9,Satara,Vai,Coriander(Leaves),Other,FAQ,500,600,540,1-Jul-16
10,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,720,29-Jun-16
11,Satara,Vai,Coriander(Leaves),Other,FAQ,600,800,750,23-Jun-16
12,Satara,Vai,Coriander(Leaves),Other,FAQ,1500,2000,1800,15-Jun-16
13,Satara,Vai,Coriander(Leaves),Other,FAQ,1500,2000,1900,14-Jun-16
14,Satara,Vai,Coriander(Leaves),Other,FAQ,1500,2500,2300,13-Jun-16
15,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1300,10-Jun-16
16,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1400,6-Jun-16
17,Satara,Vai,Coriander(Leaves),Other,FAQ,800,1000,900,6-May-16
18,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1400,29-Apr-16
19,Satara,Vai,Coriander(Leaves),Other,FAQ,1200,1500,1400,28-Apr-16
20,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1300,24-Apr-16
21,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1300,23-Apr-16
22,Satara,Vai,Coriander(Leaves),Other,FAQ,1500,2000,1800,21-Apr-16
23,Satara,Vai,Coriander(Leaves),Other,FAQ,700,900,800,7-Apr-16
24,Satara,Vai,Coriander(Leaves),Other,FAQ,300,500,400,24-Feb-16
25,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1200,1000,9-Feb-16
26,Satara,Vai,Coriander(Leaves),Other,FAQ,500,700,600,15-Dec-15
27,Satara,Vai,Coriander(Leaves),Other,FAQ,400,600,500,17-Nov-15
28,Satara,Vai,Coriander(Leaves),Other,FAQ,700,1000,900,27-Oct-15
29,Satara,Vai,Coriander(Leaves),Other,FAQ,500,900,800,21-Oct-15
30,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,750,14-Oct-15
31,Satara,Vai,Coriander(Leaves),Other,FAQ,500,1000,850,13-Oct-15
32,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,750,11-Oct-15
33,Satara,Vai,Coriander(Leaves),Other,FAQ,300,500,450,9-Oct-15
34,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,700,8-Oct-15
35,Satara,Vai,Coriander(Leaves),Other,FAQ,800,1000,940,7-Oct-15
36,Satara,Vai,Coriander(Leaves),Other,FAQ,700,1100,1060,6-Oct-15
37,Satara,Vai,Coriander(Leaves),Other,FAQ,500,800,750,5-Oct-15
38,Satara,Vai,Coriander(Leaves),Other,FAQ,2000,2200,2100,4-Oct-15
39,Satara,Vai,Coriander(Leaves),Other,FAQ,800,1000,950,3-Oct-15
40,Satara,Vai,Coriander(Leaves),Other,FAQ,1200,1400,1340,1-Oct-15
41,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1400,30-Sep-15
42,Satara,Vai,Coriander(Leaves),Other,FAQ,1500,1700,1620,28-Sep-15
43,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1200,1150,25-Sep-15
44,Satara,Vai,Coriander(Leaves),Other,FAQ,900,1200,1100,24-Sep-15
45,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1200,1140,23-Sep-15
46,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1300,1250,22-Sep-15
47,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1500,1450,20-Sep-15
48,Satara,Vai,Coriander(Leaves),Other,FAQ,700,1000,850,19-Sep-15
49,Satara,Vai,Coriander(Leaves),Other,FAQ,700,900,850,15-Sep-15
50,Satara,Vai,Coriander(Leaves),Other,FAQ,500,600,550,14-Sep-15
51,Satara,Vai,Coriander(Leaves),Other,FAQ,500,600,550,9-Sep-15
52,Satara,Vai,Coriander(Leaves),Other,FAQ,400,600,560,8-Sep-15
53,Satara,Vai,Coriander(Leaves),Other,FAQ,1000,1200,1150,30-Aug-15
