"Min,Max,Modal Price from Maharashtra,Satara[Ginger(Dry)],Vai from 01-Jan-2010To24-Oct-2020 (Total-2167) (Total-2167)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4000,3350,5-May-20
2,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4500,3500,4-May-20
3,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,3-May-20
4,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,1-May-20
5,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,30-Apr-20
6,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,29-Apr-20
7,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,28-Apr-20
8,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4500,3500,27-Apr-20
9,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,26-Apr-20
10,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,24-Apr-20
11,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,21-Apr-20
12,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,19-Apr-20
13,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,17-Apr-20
14,Satara,Vai,Ginger(Dry),Other,FAQ,3500,5500,4500,16-Apr-20
15,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,7-Apr-20
16,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,6-Apr-20
17,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,5-Apr-20
18,Satara,Vai,Ginger(Dry),Other,FAQ,3000,5000,4000,4-Apr-20
19,Satara,Vai,Ginger(Dry),Other,FAQ,4000,6000,5000,3-Apr-20
20,Satara,Vai,Ginger(Dry),Other,FAQ,4000,6000,5000,2-Apr-20
21,Satara,Vai,Ginger(Dry),Other,FAQ,3500,5000,4250,1-Apr-20
22,Satara,Vai,Ginger(Dry),Other,FAQ,3500,6000,4750,31-Mar-20
23,Satara,Vai,Ginger(Dry),Other,FAQ,4000,6500,5200,30-Mar-20
24,Satara,Vai,Ginger(Dry),Other,FAQ,4000,7000,5500,29-Mar-20
25,Satara,Vai,Ginger(Dry),Other,FAQ,4000,5000,4500,28-Mar-20
26,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,27-Mar-20
27,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,26-Mar-20
28,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,25-Mar-20
29,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4000,3750,24-Mar-20
30,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4500,3500,21-Mar-20
31,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4500,3500,20-Mar-20
32,Satara,Vai,Ginger(Dry),Other,FAQ,2500,4500,3500,19-Mar-20
33,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,18-Mar-20
34,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,17-Mar-20
35,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,16-Mar-20
36,Satara,Vai,Ginger(Dry),Other,FAQ,3000,4500,3750,15-Mar-20
