"Min,Max,Modal Price from Maharashtra,Thane[Green Chilli],Kalyan from 01-Jan-2010To25-Oct-2020 (Total-1392) (Total-1392)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thane,Kalyan,Green Chilli,Other,FAQ,4000,5000,4500,13-Oct-20
2,Thane,Kalyan,Green Chilli,Other,FAQ,4600,5000,4800,12-Oct-20
3,Thane,Kalyan,Green Chilli,Other,FAQ,5000,6100,5600,10-Oct-20
4,Thane,Kalyan,Green Chilli,Other,FAQ,5000,6000,5500,9-Oct-20
5,Thane,Kalyan,Green Chilli,Other,FAQ,4600,6000,5300,8-Oct-20
6,Thane,Kalyan,Green Chilli,Other,FAQ,4000,6000,5000,7-Oct-20
7,Thane,Kalyan,Green Chilli,Other,FAQ,5000,6000,5500,6-Oct-20
8,Thane,Kalyan,Green Chilli,Other,FAQ,5000,6000,5500,5-Oct-20
9,Thane,Kalyan,Green Chilli,Other,FAQ,3600,4000,3800,2-Oct-20
10,Thane,Kalyan,Green Chilli,Other,FAQ,3600,4000,3800,1-Oct-20
11,Thane,Kalyan,Green Chilli,Other,FAQ,3600,4000,3800,29-Sep-20
12,Thane,Kalyan,Green Chilli,Other,FAQ,3200,4000,3600,28-Sep-20
13,Thane,Kalyan,Green Chilli,Other,FAQ,3200,4000,3600,26-Sep-20
14,Thane,Kalyan,Green Chilli,Other,FAQ,3400,4000,3800,24-Sep-20
15,Thane,Kalyan,Green Chilli,Other,FAQ,3600,4000,3800,23-Sep-20
16,Thane,Kalyan,Green Chilli,Other,FAQ,3600,4000,3800,22-Sep-20
17,Thane,Kalyan,Green Chilli,Other,FAQ,2800,3200,3000,19-Sep-20
18,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3500,3250,17-Sep-20
19,Thane,Kalyan,Green Chilli,Other,FAQ,2900,4000,3500,16-Sep-20
20,Thane,Kalyan,Green Chilli,Other,FAQ,2800,4000,3450,15-Sep-20
21,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3600,3400,14-Sep-20
22,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3500,3200,11-Sep-20
23,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3500,3250,10-Sep-20
24,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3500,3250,9-Sep-20
25,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3500,3300,8-Sep-20
26,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3400,3300,7-Sep-20
27,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3400,3200,5-Sep-20
28,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3500,3250,4-Sep-20
29,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3600,3400,3-Sep-20
30,Thane,Kalyan,Green Chilli,Other,FAQ,3500,4000,3750,2-Sep-20
31,Thane,Kalyan,Green Chilli,Other,FAQ,4000,4500,4250,1-Sep-20
32,Thane,Kalyan,Green Chilli,Other,FAQ,2500,3000,2750,31-Aug-20
33,Thane,Kalyan,Green Chilli,Other,FAQ,3000,3200,3100,28-Aug-20
34,Thane,Kalyan,Green Chilli,Other,FAQ,2500,3000,2750,27-Aug-20
35,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3600,3400,21-Aug-20
36,Thane,Kalyan,Green Chilli,Other,FAQ,3200,3600,3400,20-Aug-20
37,Thane,Kalyan,Green Chilli,Other,FAQ,3500,4000,3750,19-Aug-20
