"Min,Max,Modal Price from Maharashtra,Pune[Green Chilli],Pune(Pimpri) from 01-Jan-2010To25-Oct-2020 (Total-1115) (Total-1115)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3800,3800,3800,4-Oct-20
2,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,17-Sep-20
3,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3500,4000,3750,14-Sep-20
4,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3500,3500,3500,13-Sep-20
5,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3300,3300,3300,7-Sep-20
6,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,2800,2800,2800,3-Sep-20
7,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,3-Jul-20
8,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,2-Jul-20
9,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,1-Jul-20
10,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,30-Jun-20
11,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,29-Jun-20
12,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3500,3250,28-Jun-20
13,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,3000,3000,3000,18-Jun-20
14,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,1000,1000,1000,28-Mar-20
15,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,1000,1000,1000,27-Mar-20
16,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,1000,1000,1000,26-Mar-20
17,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,2200,2200,2200,10-Feb-20
18,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,2500,2500,2500,6-Feb-20
19,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,2500,2500,2500,1-Feb-20
20,Pune,Pune(Pimpri),Green Chilli,Other,FAQ,2000,2000,2000,28-Jan-20
