"Min,Max,Modal Price from Maharashtra,Kolhapur[Green Chilli],Vadgaonpeth from 01-Jan-2010To25-Oct-2020 (Total-1097) (Total-1097)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2600,15-Oct-20
2,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,4500,3500,14-Oct-20
3,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,4000,3500,10-Oct-20
4,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2100,9-Oct-20
5,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2800,8-Oct-20
6,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1500,2200,1800,7-Oct-20
7,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3500,2800,1-Oct-20
8,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,1800,29-Sep-20
9,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,28-Sep-20
10,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2000,26-Sep-20
11,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,25-Sep-20
12,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3500,2600,24-Sep-20
13,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,23-Sep-20
14,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,4000,3500,22-Sep-20
15,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3500,2600,19-Sep-20
16,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,17-Sep-20
17,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,16-Sep-20
18,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3500,2800,5-Sep-20
19,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2600,4-Sep-20
20,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2800,2-Sep-20
21,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,1-Sep-20
22,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,4000,2800,25-Aug-20
23,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1800,3000,2600,24-Aug-20
24,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,2500,2100,20-Aug-20
25,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2600,18-Aug-20
26,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,2500,1800,5-Aug-20
27,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,3000,2600,3-Aug-20
28,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,2000,1600,30-Jul-20
29,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1500,4000,2500,29-Jul-20
30,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,2000,1600,28-Jul-20
31,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,1800,27-Jul-20
32,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,2000,2500,2100,18-Jul-20
33,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,17-Jul-20
34,Kolhapur,Vadgaonpeth,Green Chilli,Other,FAQ,1000,3000,2600,16-Jul-20
