"Min,Max,Modal Price from Maharashtra,Nandurbar[Jowar(Sorghum)],Akkalkuwa from 01-Jan-2010To24-Oct-2020 (Total-133) (Total-133)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,3020,3300,3110,19-Mar-20
2,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,3000,3370,3290,18-Mar-20
3,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,3050,3460,3300,17-Mar-20
4,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2180,2070,20-Feb-20
5,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1850,2100,2000,14-Feb-20
6,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1800,2210,2060,3-Feb-20
7,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1960,2250,2130,31-Jan-20
8,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2180,2050,30-Jan-20
9,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1880,2200,2040,28-Jan-20
10,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2230,2110,27-Jan-20
11,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1940,2140,2080,25-Jan-20
12,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1850,2240,2100,24-Jan-20
13,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2200,2030,23-Jan-20
14,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1960,2250,2120,22-Jan-20
15,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2210,2130,20-Jan-20
16,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1960,2250,2100,18-Jan-20
17,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2230,2070,17-Jan-20
18,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1870,2200,2100,16-Jan-20
19,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2260,2210,14-Jan-20
20,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1850,2240,2080,13-Jan-20
21,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2230,2150,11-Jan-20
22,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1870,2210,2100,10-Jan-20
23,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2300,2250,9-Jan-20
24,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2330,2250,8-Jan-20
25,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1950,2280,2190,7-Jan-20
26,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1890,2290,2260,6-Jan-20
27,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2340,2240,4-Jan-20
28,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1960,2310,2250,3-Jan-20
29,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2320,2270,2-Jan-20
30,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1950,2300,2260,1-Jan-20
31,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1930,2360,2280,31-Dec-19
32,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2320,2260,30-Dec-19
33,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2300,2230,28-Dec-19
34,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2330,2260,27-Dec-19
35,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1940,2350,2300,26-Dec-19
36,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1890,2320,2260,24-Dec-19
37,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2320,2269,21-Dec-19
38,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2350,2220,20-Dec-19
39,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1880,2360,2320,19-Dec-19
40,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2340,2300,18-Dec-19
41,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1950,2340,2300,17-Dec-19
42,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1930,2380,2310,16-Dec-19
43,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2350,2300,14-Dec-19
44,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1920,2320,2260,13-Dec-19
45,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1940,2350,2290,12-Dec-19
46,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1910,2360,2280,11-Dec-19
47,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1900,2320,2260,10-Dec-19
48,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1950,2370,2310,9-Dec-19
49,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1980,2370,2290,7-Dec-19
50,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2010,2320,2250,6-Dec-19
51,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2000,2300,2240,5-Dec-19
52,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2060,2340,2280,4-Dec-19
53,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2090,2340,2300,3-Dec-19
54,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2040,2380,2260,2-Dec-19
55,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1730,2060,1910,30-Nov-19
56,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1680,2100,1950,29-Nov-19
57,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1700,2080,1950,28-Nov-19
58,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1710,2030,1930,27-Nov-19
59,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1730,2080,1960,26-Nov-19
60,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1750,2050,1940,25-Nov-19
61,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1730,2000,1920,23-Nov-19
62,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1680,2000,1910,22-Nov-19
63,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1730,2090,1980,19-Nov-19
64,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1710,2030,1940,18-Nov-19
65,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1453,1792,1788,30-Nov-18
66,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1410,1791,1780,29-Nov-18
67,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1440,1787,1770,28-Nov-18
68,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1467,1789,1777,27-Nov-18
69,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1100,1261,1212,30-Nov-17
70,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1300,1570,1460,26-Oct-17
71,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1280,1500,1430,25-Oct-17
72,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1200,1450,1333,23-Oct-17
73,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1260,1300,1288,29-Mar-17
74,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1975,2000,1988,24-Mar-17
75,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1300,1350,1333,22-Mar-17
76,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,2271,2300,2285,16-Mar-17
77,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1455,1500,1488,15-Mar-17
78,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1330,1350,1342,10-Mar-17
79,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1336,1350,1340,9-Mar-17
80,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1333,1350,1340,8-Mar-17
81,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1337,1360,1352,7-Mar-17
82,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1335,1350,1340,6-Mar-17
83,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1335,1350,1342,4-Mar-17
84,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1325,1370,1365,3-Mar-17
85,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1300,1350,1330,2-Mar-17
86,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1267,1300,1288,1-Mar-17
87,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1257,1300,1287,28-Feb-17
88,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1270,1300,1281,27-Feb-17
89,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1277,1300,1289,25-Feb-17
90,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1265,1300,1285,23-Feb-17
91,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1260,1300,1285,22-Feb-17
92,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1280,1300,1287,21-Feb-17
93,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1267,1300,1287,20-Feb-17
94,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1272,1300,1280,18-Feb-17
95,Nandurbar,Akkalkuwa,Jowar(Sorghum),Other,FAQ,1270,1300,1285,17-Feb-17
