"Min,Max,Modal Price from Maharashtra,Jalana[Jowar(Sorghum)],Ambad (Vadigodri) from 01-Jan-2010To24-Oct-2020 (Total-1201) (Total-1201)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1500,2100,1900,15-Oct-20
2,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1276,1900,1700,14-Oct-20
3,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1350,2200,1726,13-Oct-20
4,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1451,2150,1700,12-Oct-20
5,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1500,2451,1701,9-Oct-20
6,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1400,2500,1600,8-Oct-20
7,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1400,2001,1700,7-Oct-20
8,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1420,2630,1700,6-Oct-20
9,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1400,2300,1776,5-Oct-20
10,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1500,2501,1751,3-Oct-20
11,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1451,2091,1700,1-Oct-20
12,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1501,2350,1700,30-Sep-20
13,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1501,2500,1711,29-Sep-20
14,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1500,2525,2100,28-Sep-20
15,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,2400,1800,26-Sep-20
16,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1450,2600,1700,25-Sep-20
17,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1401,2351,1500,23-Sep-20
18,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1116,2591,1300,22-Sep-20
19,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2851,1400,21-Sep-20
20,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1152,1700,1300,19-Sep-20
21,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1360,2175,1600,18-Sep-20
22,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1250,1950,1300,15-Sep-20
23,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1300,2300,1550,14-Sep-20
24,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1291,2450,1531,12-Sep-20
25,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1100,2001,1250,11-Sep-20
26,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1100,2119,1235,10-Sep-20
27,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1100,2300,1245,9-Sep-20
28,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1191,1950,1300,8-Sep-20
29,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2290,1350,7-Sep-20
30,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2500,1500,5-Sep-20
31,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1150,2801,1322,4-Sep-20
32,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1150,2001,1200,3-Sep-20
33,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1201,1600,1400,2-Sep-20
34,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1601,2276,1850,13-Aug-20
35,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1645,2801,1900,12-Aug-20
36,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1601,2400,1900,10-Aug-20
37,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,2601,2100,8-Aug-20
38,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1526,2200,1900,7-Aug-20
39,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1691,2391,2000,6-Aug-20
40,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,2401,1900,5-Aug-20
41,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1765,2600,1900,4-Aug-20
42,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1650,2175,2000,3-Aug-20
43,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,2371,1800,31-Jul-20
44,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1681,2350,1881,30-Jul-20
45,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,2471,1900,29-Jul-20
46,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1628,2200,1905,28-Jul-20
47,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1705,2100,1950,27-Jul-20
48,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,2112,1811,25-Jul-20
49,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1801,2426,1950,24-Jul-20
50,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1775,2500,1995,23-Jul-20
51,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,2323,2000,22-Jul-20
52,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,2446,2150,21-Jul-20
53,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,2300,2000,18-Jul-20
54,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,2590,2166,17-Jul-20
55,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1950,2850,2200,16-Jul-20
56,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1681,2421,2000,15-Jul-20
57,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1950,2615,2000,14-Jul-20
58,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1900,2461,2200,13-Jul-20
59,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,3250,3200,11-Jul-20
60,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1970,2876,2100,10-Jul-20
61,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,2751,2360,9-Jul-20
62,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2070,3000,2200,8-Jul-20
63,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,2876,2200,7-Jul-20
64,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1751,3071,2100,6-Jul-20
65,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2001,2460,2200,4-Jul-20
66,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,3230,2300,2-Jul-20
67,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,3000,2500,24-Jun-20
68,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,3000,2500,23-Jun-20
69,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2200,3000,2500,22-Jun-20
70,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,3000,2500,20-Jun-20
71,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,3000,2500,19-Jun-20
72,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2200,3000,2500,18-Jun-20
73,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2100,3000,2800,9-Jun-20
74,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2100,3140,2451,5-Jun-20
75,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2391,3155,2500,4-Jun-20
76,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1750,3200,2600,23-May-20
77,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,3100,2600,21-May-20
78,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2270,2891,2500,20-May-20
79,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1651,3641,2450,19-May-20
80,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1850,3150,2650,18-May-20
81,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,3545,2500,16-May-20
82,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1400,3550,2600,15-May-20
83,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,2951,2500,14-May-20
84,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,3641,2600,11-May-20
85,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,3190,2650,9-May-20
86,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,3300,2850,8-May-20
87,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1800,3026,2800,6-May-20
88,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,3276,2100,18-Mar-20
89,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1750,2900,2400,17-Mar-20
90,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1650,3316,2500,16-Mar-20
91,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1450,2800,2300,14-Mar-20
92,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1650,2300,2200,13-Mar-20
93,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2800,2200,12-Mar-20
94,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,2345,2100,11-Mar-20
95,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1700,2271,2000,9-Mar-20
96,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1400,3600,2200,7-Mar-20
97,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1350,3450,2300,6-Mar-20
98,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1450,3655,2300,5-Mar-20
99,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,3512,2300,4-Mar-20
100,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1600,2851,2400,3-Mar-20
101,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1881,2991,2600,29-Feb-20
102,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2671,2450,28-Feb-20
103,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1200,2671,2450,27-Feb-20
104,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2150,2900,2600,26-Feb-20
105,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1900,3376,2600,25-Feb-20
106,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1511,3200,2650,24-Feb-20
107,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1511,3201,2650,22-Feb-20
108,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2000,2991,2500,20-Feb-20
109,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1900,3401,2600,18-Feb-20
110,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2301,3201,2750,17-Feb-20
111,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2500,3840,3100,14-Feb-20
112,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2600,3200,3050,12-Feb-20
113,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2550,3501,3200,11-Feb-20
114,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2200,3700,3450,10-Feb-20
115,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2601,2870,2700,8-Feb-20
116,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2500,3320,3200,7-Feb-20
117,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1750,3351,2900,6-Feb-20
118,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2951,3750,3500,5-Feb-20
119,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3000,3800,3600,4-Feb-20
120,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3105,3721,3451,3-Feb-20
121,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2900,3651,3400,1-Feb-20
122,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3838,3600,31-Jan-20
123,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3720,3500,30-Jan-20
124,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3611,3400,29-Jan-20
125,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3611,3400,28-Jan-20
126,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3551,3350,27-Jan-20
127,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2700,3175,3050,25-Jan-20
128,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2502,3530,3350,23-Jan-20
129,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3000,3701,3500,22-Jan-20
130,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2775,3600,3200,21-Jan-20
131,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3400,3300,20-Jan-20
132,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3600,3400,18-Jan-20
133,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3200,3926,3600,17-Jan-20
134,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3181,3581,3400,16-Jan-20
135,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3500,3400,15-Jan-20
136,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2600,3900,3400,14-Jan-20
137,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3171,4270,3600,13-Jan-20
138,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,1500,4060,3600,10-Jan-20
139,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3090,4300,3200,9-Jan-20
140,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3250,3740,3550,8-Jan-20
141,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3800,3550,7-Jan-20
142,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3000,3876,3600,6-Jan-20
143,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3660,3400,4-Jan-20
144,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,2390,3780,3240,3-Jan-20
145,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3600,3400,2-Jan-20
146,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3556,3400,1-Jan-20
147,Jalana,Ambad (Vadigodri),Jowar(Sorghum),Other,FAQ,3100,3400,3200,31-Dec-19
