"Min,Max,Modal Price from Maharashtra,Buldhana[Jowar(Sorghum)],Buldhana(Dhad) from 01-Jan-2010To24-Oct-2020 (Total-483) (Total-483)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,800,1500,1200,9-Sep-20
2,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,800,1200,1100,4-Sep-20
3,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,800,2100,2000,10-May-20
4,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1500,1800,1750,15-Mar-20
5,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1800,2000,1900,13-Mar-20
6,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1200,2200,2000,11-Mar-20
7,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1200,2000,1950,8-Mar-20
8,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1200,2100,2000,6-Mar-20
9,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1200,1800,1700,5-Mar-20
10,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1100,1700,1500,16-Feb-20
11,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1100,1500,1350,14-Feb-20
12,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1100,1300,1200,12-Feb-20
13,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1300,2000,1900,15-Jan-20
14,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1300,1950,1900,10-Jan-20
15,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1500,2100,2000,8-Jan-20
16,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1300,2100,2000,5-Jan-20
17,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1500,1900,1850,1-Jan-20
18,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1400,1300,15-Dec-19
19,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1250,1200,13-Dec-19
20,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1250,1200,11-Dec-19
21,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,900,1250,1200,6-Dec-19
22,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,900,1200,1100,4-Dec-19
23,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1200,1100,2-Dec-19
24,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,900,1100,1000,29-Nov-19
25,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,900,1200,1100,27-Nov-19
26,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,900,1200,1000,22-Nov-19
27,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1800,1400,17-Nov-19
28,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1500,1250,15-Nov-19
29,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1000,1700,1400,8-Nov-19
30,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1200,1900,1500,1-Nov-19
31,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,2000,2200,2100,6-Oct-19
32,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1500,2100,2000,12-Jun-19
33,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1800,2000,1900,5-Jun-19
34,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1800,2100,2000,8-Apr-19
35,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1800,1950,1900,7-Apr-19
36,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1900,2000,1950,5-Apr-19
37,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1250,1950,1900,3-Apr-19
38,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,1700,2100,1800,11-Jan-19
