"Min,Max,Modal Price from Maharashtra,Amarawati[Jowar(Sorghum)],Dharni from 01-Jan-2010To24-Oct-2020 (Total-215) (Total-215)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1500,1600,1550,5-May-20
2,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1500,1600,1550,24-Apr-20
3,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1600,1700,1650,12-Dec-19
4,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1500,1600,1550,28-Nov-19
5,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1300,1400,1350,27-Nov-19
6,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,26-Nov-19
7,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1700,1800,1750,11-Nov-19
8,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1800,1900,1850,1-Nov-19
9,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1800,1900,1850,27-Oct-19
10,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1800,1900,1850,26-Oct-19
11,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1600,1700,1650,25-Mar-19
12,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1500,1600,1550,20-Mar-19
13,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1600,1700,1650,18-Mar-19
14,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1700,1800,1750,16-Mar-19
15,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1600,1700,1650,15-Mar-19
16,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1600,1700,1650,11-Jul-18
17,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1700,1800,1750,7-Jul-18
18,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,15-Jun-18
19,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,11-Jun-18
20,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,30-May-18
21,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,29-May-18
22,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,16-May-18
23,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,19-Apr-18
24,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,4-Apr-18
25,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,3900,4000,3950,29-Mar-18
26,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,13-Mar-18
27,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1500,1600,1550,5-Mar-18
28,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,1-Mar-18
29,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,28-Feb-18
30,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,15-Feb-18
31,Amarawati,Dharni,Jowar(Sorghum),Other,FAQ,1400,1500,1450,9-Feb-18
