"Min,Max,Modal Price from Maharashtra,Amarawati[Jowar(Sorghum)],Daryapur from 01-Jan-2010To24-Oct-2020 (Total-551) (Total-551)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1325,1325,1325,4-Apr-20
2,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,3505,3505,3505,8-Feb-20
3,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1300,1300,1300,6-Nov-19
4,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1800,1800,1800,9-Oct-19
5,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1960,1960,1960,10-May-19
6,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,2105,2105,2105,16-Mar-19
7,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1900,1900,1900,7-Dec-18
8,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,900,900,900,19-May-18
9,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,900,900,900,12-May-18
10,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,900,900,900,5-May-18
11,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,700,700,700,12-Jan-18
12,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1600,1600,1600,30-Dec-16
13,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1605,1650,1625,16-Dec-16
14,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1610,1610,1610,12-Sep-16
15,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1800,1800,1800,20-Aug-16
16,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1600,1600,1600,13-May-16
17,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,2441,3517,3340,11-Dec-15
18,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1601,1601,1601,26-Sep-15
19,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1225,1250,1240,5-Jul-13
20,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1121,1240,1200,21-Jun-13
21,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1161,1181,1171,10-Jun-13
22,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,8-Jun-13
23,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1141,1230,1165,4-Jun-13
24,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1180,1180,1180,3-Jun-13
25,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1170,1170,1170,1-Jun-13
26,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1161,1161,1161,31-May-13
27,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1151,1135,27-May-13
28,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1125,1125,1125,22-May-13
29,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1121,1121,1121,21-May-13
30,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1151,1151,1151,20-May-13
31,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,17-May-13
32,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1175,1175,1175,15-May-13
33,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1178,1178,1178,14-May-13
34,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1132,1132,1132,10-May-13
35,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1150,1150,1150,8-May-13
36,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1195,1195,1195,6-May-13
37,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1121,1175,1161,29-Apr-13
38,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,26-Apr-13
39,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,22-Apr-13
40,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,13-Apr-13
41,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1125,1125,1125,12-Apr-13
42,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,8-Apr-13
43,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1050,1050,1050,23-Mar-13
44,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1111,1111,1111,9-Mar-13
45,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1025,1025,1025,8-Mar-13
46,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1200,1200,1200,2-Mar-13
47,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1050,1050,1050,1-Mar-13
48,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1050,1050,1050,26-Feb-13
49,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1000,1075,1025,11-Feb-13
50,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,8-Feb-13
51,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1100,1100,1100,4-Feb-13
52,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1000,1000,1000,2-Feb-13
53,Amarawati,Daryapur,Jowar(Sorghum),Other,FAQ,1150,1150,1150,1-Feb-13
