"Min,Max,Modal Price from Maharashtra,Beed[Jowar(Sorghum)],Gevrai from 01-Jan-2010To24-Oct-2020 (Total-2034) (Total-2034)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2301,1600,14-Oct-20
2,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2000,1650,13-Oct-20
3,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2100,1700,12-Oct-20
4,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2450,1750,10-Oct-20
5,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2575,1750,9-Oct-20
6,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2400,1700,8-Oct-20
7,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2535,1750,7-Oct-20
8,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2675,1850,6-Oct-20
9,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2345,1800,5-Oct-20
10,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2640,1750,3-Oct-20
11,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1425,2200,1625,1-Oct-20
12,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2100,1650,30-Sep-20
13,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,2100,1625,29-Sep-20
14,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1300,1500,1300,26-Sep-20
15,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1325,1800,1500,25-Sep-20
16,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1300,1700,1550,24-Sep-20
17,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,2000,1600,23-Sep-20
18,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1300,1800,1550,22-Sep-20
19,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2000,1600,21-Sep-20
20,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2000,1751,19-Sep-20
21,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1300,1500,1400,18-Sep-20
22,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,1901,1600,16-Sep-20
23,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1200,1924,1450,15-Sep-20
24,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1300,1700,1400,14-Sep-20
25,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1200,1600,1400,12-Sep-20
26,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,1800,1550,11-Sep-20
27,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,1900,1650,9-Sep-20
28,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2200,1800,8-Sep-20
29,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,1800,1550,7-Sep-20
30,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,1750,1625,5-Sep-20
31,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2000,1650,3-Sep-20
32,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,1650,1500,2-Sep-20
33,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2525,1800,31-Aug-20
34,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1350,1770,1600,29-Aug-20
35,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2300,1850,28-Aug-20
36,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2000,1750,27-Aug-20
37,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2200,1800,25-Aug-20
38,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2100,1900,24-Aug-20
39,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2351,2000,20-Aug-20
40,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,1900,1700,17-Aug-20
41,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2200,2000,14-Aug-20
42,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2801,2200,13-Aug-20
43,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1581,2699,2150,12-Aug-20
44,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2700,2100,11-Aug-20
45,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2602,2050,10-Aug-20
46,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1650,2511,2000,8-Aug-20
47,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1900,2400,2100,7-Aug-20
48,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2601,2175,29-Jul-20
49,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2571,2200,28-Jul-20
50,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2775,2300,27-Jul-20
51,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2600,2000,25-Jul-20
52,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2650,2100,24-Jul-20
53,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2600,2150,23-Jul-20
54,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1650,3176,2250,22-Jul-20
55,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2775,2300,16-Jul-20
56,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2450,2200,15-Jul-20
57,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1850,2240,2000,14-Jul-20
58,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2894,2250,13-Jul-20
59,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1750,2390,2000,10-Jul-20
60,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1601,2400,2100,9-Jul-20
61,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2351,2150,8-Jul-20
62,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2891,2350,7-Jul-20
63,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2890,2300,6-Jul-20
64,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1750,3449,2500,4-Jul-20
65,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1850,3402,2600,3-Jul-20
66,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1720,3049,2400,2-Jul-20
67,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1651,2941,2300,30-Jun-20
68,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3251,2450,29-Jun-20
69,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1980,2600,2200,27-Jun-20
70,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1625,2800,2275,26-Jun-20
71,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1651,3176,2400,25-Jun-20
72,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1601,2550,2250,24-Jun-20
73,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1750,2976,2450,23-Jun-20
74,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2600,2300,22-Jun-20
75,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1901,2967,2375,20-Jun-20
76,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1752,2950,2200,19-Jun-20
77,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1725,3000,2300,18-Jun-20
78,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3200,2550,17-Jun-20
79,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2976,2400,16-Jun-20
80,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2800,2400,15-Jun-20
81,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,2751,2275,13-Jun-20
82,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,2950,2300,12-Jun-20
83,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3075,2350,11-Jun-20
84,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1725,2676,2300,10-Jun-20
85,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3070,2450,9-Jun-20
86,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,3000,2525,8-Jun-20
87,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3001,2450,6-Jun-20
88,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,2000,2946,2650,5-Jun-20
89,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1650,3150,2500,4-Jun-20
90,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1701,3090,2350,3-Jun-20
91,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2950,2325,2-Jun-20
92,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3100,2400,1-Jun-20
93,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1725,3170,2550,30-May-20
94,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1900,3150,2550,29-May-20
95,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3200,2400,28-May-20
96,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,3200,2700,27-May-20
97,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3060,2300,26-May-20
98,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2749,2100,25-May-20
99,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3081,2200,23-May-20
100,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3100,2400,21-May-20
101,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,2807,2350,19-May-20
102,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,2200,2950,2500,18-May-20
103,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1825,3080,2400,15-May-20
104,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1650,3300,2300,13-May-20
105,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3091,2500,11-May-20
106,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2900,2300,9-May-20
107,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1725,3500,2650,7-May-20
108,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,3125,2350,1-May-20
109,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1700,3450,2000,19-Apr-20
110,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2500,2000,7-Apr-20
111,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1800,1800,1800,3-Apr-20
112,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,3400,2100,20-Mar-20
113,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2300,1600,18-Mar-20
114,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2530,1950,17-Mar-20
115,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2350,1800,14-Mar-20
116,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2600,1800,13-Mar-20
117,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1500,2301,1925,11-Mar-20
118,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,2076,1700,9-Mar-20
119,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1501,2600,2100,7-Mar-20
120,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2587,2000,6-Mar-20
121,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1450,2499,1900,5-Mar-20
122,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1550,2501,1900,4-Mar-20
123,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1400,1961,1700,3-Mar-20
124,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1600,2755,2100,2-Mar-20
125,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1675,2700,2300,29-Feb-20
126,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1850,2500,2100,28-Feb-20
127,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1950,2600,2300,27-Feb-20
128,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1850,2876,2100,26-Feb-20
129,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,1611,2400,2000,25-Feb-20
130,Beed,Gevrai,Jowar(Sorghum),Red,FAQ,2100,2970,2500,24-Feb-20
