"Min,Max,Modal Price from Maharashtra,Pune[Jowar(Sorghum)],Indapur(Bhigwan) from 01-Jan-2010To24-Oct-2020 (Total-144) (Total-144)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2000,3800,2700,4-Oct-20
2,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1900,3651,2500,27-Sep-20
3,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,3500,2000,30-Aug-20
4,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,3100,2700,23-Aug-20
5,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,3501,2800,16-Aug-20
6,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,2800,2000,9-Aug-20
7,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,3151,2500,12-Jul-20
8,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2400,4501,4000,24-May-20
9,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1800,3651,3000,15-Mar-20
10,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2000,3600,2900,8-Mar-20
11,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,4025,3200,1-Mar-20
12,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2400,4200,2900,16-Feb-20
13,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,3000,4211,3500,10-Nov-19
14,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2000,3800,3300,3-Nov-19
15,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2450,3000,2800,9-Jun-19
16,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2151,3950,3000,12-May-19
17,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2800,3751,3200,5-May-19
18,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,3000,3900,3300,17-Mar-19
19,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2600,3900,3300,24-Feb-19
20,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2800,3900,3300,17-Feb-19
21,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2800,3600,3200,6-Jan-19
22,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2400,3451,3200,30-Dec-18
23,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2500,3911,3000,25-Nov-18
24,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,2000,3701,2800,18-Nov-18
25,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1800,4000,2500,28-Oct-18
26,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1850,2700,2051,14-Oct-18
27,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2700,2000,7-Oct-18
28,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2751,2000,16-Sep-18
29,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1451,2700,2200,19-Aug-18
30,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2851,2200,12-Aug-18
31,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2751,1900,5-Aug-18
32,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1411,2400,1800,29-Jul-18
33,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,2200,1700,24-Jun-18
34,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1400,2301,1900,10-Jun-18
35,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2551,1851,13-May-18
36,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2900,1900,1-Apr-18
37,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1550,2700,2000,25-Mar-18
38,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2400,1900,11-Mar-18
39,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,2500,2100,18-Feb-18
40,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2251,2000,30-Jul-17
41,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1601,2211,1901,16-Jul-17
42,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1200,2300,1700,18-Jun-17
43,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1351,2200,1700,21-May-17
44,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1501,2411,2000,30-Apr-17
45,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2411,2051,23-Apr-17
46,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2501,2000,16-Apr-17
47,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2551,2000,9-Apr-17
48,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1500,2801,2150,26-Mar-17
49,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2751,2000,19-Mar-17
50,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3000,2050,5-Mar-17
51,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3100,2100,26-Feb-17
52,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2800,2200,12-Feb-17
53,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3100,2200,5-Feb-17
54,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,3000,2200,29-Jan-17
55,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2590,1950,8-Jan-17
56,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,2900,2000,1-Jan-17
57,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,3000,2100,18-Dec-16
58,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1650,3100,2100,11-Dec-16
59,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2851,2100,4-Dec-16
60,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1850,3200,2350,27-Nov-16
61,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1800,3101,2301,20-Nov-16
62,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1751,2800,2051,6-Nov-16
63,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1550,2411,1900,23-Oct-16
64,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2333,1900,2-Oct-16
65,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2651,1950,25-Sep-16
66,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2800,2000,18-Sep-16
67,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1621,2300,2000,11-Sep-16
68,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1590,2401,1900,4-Sep-16
69,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1611,2401,2000,28-Aug-16
70,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2525,2000,7-Aug-16
71,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2500,1750,31-Jul-16
72,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1600,2211,2000,3-Jul-16
73,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1700,2475,1900,26-Jun-16
74,Pune,Indapur(Bhigwan),Jowar(Sorghum),Other,FAQ,1860,2500,2100,21-Jun-16
