"Min,Max,Modal Price from Maharashtra,Parbhani[Jowar(Sorghum)],Jintur(Bori) from 01-Jan-2010To24-Oct-2020 (Total-917) (Total-917)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2250,2250,2250,14-May-20
2,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1800,1800,1800,8-May-20
3,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1705,1705,1705,20-Mar-20
4,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1850,1850,1850,16-Mar-20
5,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1555,1700,1700,13-Mar-20
6,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1700,1705,1705,11-Mar-20
7,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1800,1800,1800,7-Mar-20
8,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1900,2005,2005,6-Mar-20
9,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1800,2125,2125,2-Mar-20
10,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2250,2250,2250,29-Feb-20
11,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2100,2100,2100,26-Feb-20
12,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,1900,1900,1900,25-Feb-20
13,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2200,2705,2600,20-Feb-20
14,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2500,2800,2600,18-Feb-20
15,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2500,2900,2805,17-Feb-20
16,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2600,2900,2900,15-Feb-20
17,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2300,2900,2900,14-Feb-20
18,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2765,2765,2765,12-Feb-20
19,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2855,2855,2855,11-Feb-20
20,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,2840,2975,2975,10-Feb-20
21,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3000,3000,3000,8-Feb-20
22,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3000,3200,3160,7-Feb-20
23,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3125,3160,3155,6-Feb-20
24,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3055,3055,3055,5-Feb-20
25,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3150,3150,3150,3-Feb-20
26,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3000,3000,3000,1-Feb-20
27,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3175,3195,3195,31-Jan-20
28,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3300,3350,3350,29-Jan-20
29,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3270,3270,3270,28-Jan-20
30,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3210,3250,3250,27-Jan-20
31,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3300,3300,3300,22-Jan-20
32,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3300,3400,3375,20-Jan-20
33,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3375,3375,3375,18-Jan-20
34,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3400,3400,3400,17-Jan-20
35,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3375,3400,3400,15-Jan-20
36,Parbhani,Jintur(Bori),Jowar(Sorghum),Red,FAQ,3200,3300,3265,13-Jan-20
