"Min,Max,Modal Price from Maharashtra,Beed[Jowar(Sorghum)],Kaij from 01-Jan-2010To24-Oct-2020 (Total-3021) (Total-3021)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,750,2000,821,15-Oct-20
2,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1700,2000,1900,15-Oct-20
3,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,800,2200,810,13-Oct-20
4,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1850,2100,1940,13-Oct-20
5,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,800,1100,810,12-Oct-20
6,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1691,2000,1810,12-Oct-20
7,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,822,2000,940,9-Oct-20
8,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,1725,1650,9-Oct-20
9,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,840,840,840,8-Oct-20
10,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1640,1800,1721,8-Oct-20
11,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,852,2201,885,7-Oct-20
12,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,1750,1691,7-Oct-20
13,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,876,876,876,6-Oct-20
14,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,1900,1751,6-Oct-20
15,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,831,876,842,5-Oct-20
16,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1500,1800,1700,5-Oct-20
17,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,871,871,871,1-Oct-20
18,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,1800,1775,1-Oct-20
19,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,775,890,775,30-Sep-20
20,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1651,1801,1690,30-Sep-20
21,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,880,890,886,29-Sep-20
22,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1675,1800,1700,29-Sep-20
23,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,776,885,776,28-Sep-20
24,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,1800,1700,28-Sep-20
25,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,850,900,890,25-Sep-20
26,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1670,1800,1700,25-Sep-20
27,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,750,1951,851,24-Sep-20
28,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1521,1717,1667,24-Sep-20
29,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,700,2000,890,23-Sep-20
30,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1651,2200,1700,23-Sep-20
31,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,850,2000,900,22-Sep-20
32,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1601,1751,1700,22-Sep-20
33,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,888,920,906,21-Sep-20
34,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,2001,1700,21-Sep-20
35,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,800,1500,870,18-Sep-20
36,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1650,1776,1700,18-Sep-20
37,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,600,880,861,16-Sep-20
38,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1651,1790,1700,16-Sep-20
39,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,812,880,851,15-Sep-20
40,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1601,2200,1900,15-Sep-20
41,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,851,1500,900,14-Sep-20
42,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1752,2222,1975,14-Sep-20
43,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,931,1600,947,11-Sep-20
44,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1671,2100,1750,11-Sep-20
45,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,888,2000,971,10-Sep-20
46,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1651,1800,1751,10-Sep-20
47,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,800,2200,932,9-Sep-20
48,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,2100,1700,9-Sep-20
49,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,931,1301,950,8-Sep-20
50,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1671,2000,1700,8-Sep-20
51,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,921,2400,940,7-Sep-20
52,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1675,2200,1751,7-Sep-20
53,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,900,1801,970,4-Sep-20
54,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,2200,1751,4-Sep-20
55,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,850,975,951,3-Sep-20
56,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1500,1800,1651,3-Sep-20
57,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,889,3100,974,2-Sep-20
58,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1600,2100,1751,2-Sep-20
59,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,875,2301,921,31-Aug-20
60,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1550,2200,1751,31-Aug-20
61,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,888,3100,926,25-Aug-20
62,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1700,2000,1900,25-Aug-20
63,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,1009,2001,1301,31-Jul-20
64,Beed,Kaij,Jowar(Sorghum),Red,FAQ,2000,2401,2100,31-Jul-20
65,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,1022,2701,1036,30-Jul-20
66,Beed,Kaij,Jowar(Sorghum),Red,FAQ,2080,2251,2100,30-Jul-20
67,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,1028,1050,1040,29-Jul-20
68,Beed,Kaij,Jowar(Sorghum),Red,FAQ,1975,2451,2071,29-Jul-20
69,Beed,Kaij,Jowar(Sorghum),Jowar (Yellow),FAQ,1016,2600,1025,28-Jul-20
