"Min,Max,Modal Price from Maharashtra,Vashim[Jowar(Sorghum)],Malegaon(Vashim) from 01-Jan-2010To24-Oct-2020 (Total-20) (Total-20)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,1100,1300,1200,3-Oct-12
2,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,950,1065,1000,23-Nov-11
3,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,950,1065,1000,19-Nov-11
4,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,900,1050,1000,18-Nov-11
5,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,800,800,29-Apr-11
6,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,800,800,28-Apr-11
7,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,800,800,23-Apr-11
8,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,850,820,21-Apr-11
9,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,900,840,20-Apr-11
10,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,750,900,850,9-Feb-11
11,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,700,850,800,31-Jan-11
12,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,900,850,29-Jan-11
13,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,850,850,850,28-Jan-11
14,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,900,850,27-Jan-11
15,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,800,900,850,24-Jan-11
16,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,700,800,750,21-Jan-11
17,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,775,825,800,19-Jan-11
18,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,700,825,800,6-Jan-11
19,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,700,825,800,5-Jan-11
20,Vashim,Malegaon(Vashim),Jowar(Sorghum),Other,FAQ,725,850,800,3-Jan-11
