"Min,Max,Modal Price from Maharashtra,Nashik[Jowar(Sorghum)],Manmad from 01-Jan-2010To24-Oct-2020 (Total-29) (Total-29)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,701,1150,860,7-Oct-20
2,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1100,1751,1100,15-Sep-20
3,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1341,1341,1341,5-Aug-20
4,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2000,2000,2000,4-Aug-20
5,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1586,1741,1586,30-Jun-20
6,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,900,1591,900,9-Jun-20
7,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,601,1550,1490,1-Jun-20
8,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1696,1696,1696,28-May-20
9,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2721,3152,2730,13-May-20
10,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1521,2314,1521,26-Sep-18
11,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2511,2511,2511,24-Feb-17
12,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2211,2211,2211,16-Dec-16
13,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1811,2360,1951,13-Dec-16
14,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2490,2525,2490,9-Dec-16
15,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1700,2490,2001,6-Dec-16
16,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2190,2551,2541,2-Dec-16
17,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2252,2600,2553,1-Dec-16
18,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2380,2380,2380,30-Nov-16
19,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1621,1850,1821,25-Oct-16
20,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1180,1652,1481,24-Oct-16
21,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1790,1861,1800,3-Aug-16
22,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,2040,2040,2040,30-Jun-16
23,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1731,1821,1750,14-Jun-16
24,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1650,1752,1700,26-Apr-16
25,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1631,1681,1631,16-Feb-16
26,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1591,1591,1591,3-Feb-16
27,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1551,1801,1551,14-Jun-11
28,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,1100,2700,2600,13-Apr-11
29,Nashik,Manmad,Jowar(Sorghum),Other,FAQ,851,1020,1000,4-Aug-10
