"Min,Max,Modal Price from Maharashtra,Nanded[Jowar(Sorghum)],Mudkhed from 01-Jan-2010To24-Oct-2020 (Total-94) (Total-94)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1100,1400,1250,8-Oct-20
2,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1200,1500,1300,5-Oct-20
3,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1200,1400,1320,24-Sep-20
4,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1200,1400,1330,23-Sep-20
5,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1200,1350,1250,11-Sep-20
6,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1300,1500,1440,4-Sep-20
7,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1300,1500,1440,3-Sep-20
8,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1400,1550,1500,31-Aug-20
9,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1650,1720,1700,24-Aug-20
10,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1680,1730,1700,19-Aug-20
11,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1760,1730,11-Aug-20
12,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1750,1730,10-Aug-20
13,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1760,1720,7-Aug-20
14,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1730,1710,5-Aug-20
15,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1750,1730,4-Aug-20
16,Nanded,Mudkhed,Jowar(Sorghum),Other,FAQ,1700,1750,1720,31-Jul-20
