"Min,Max,Modal Price from Maharashtra,Jalgaon[Jowar(Sorghum)],Pachora from 01-Jan-2010To24-Oct-2020 (Total-1657) (Total-1657)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1451,1715,1611,9-Oct-20
2,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1700,2700,2000,9-Oct-20
3,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1411,1657,1551,8-Oct-20
4,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1610,2151,1811,8-Oct-20
5,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1351,1625,1511,7-Oct-20
6,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1651,2161,1811,7-Oct-20
7,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1251,1489,1321,21-Sep-20
8,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1651,2175,1851,21-Sep-20
9,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1351,1516,1431,18-Sep-20
10,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1751,1900,1851,18-Sep-20
11,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1295,1511,1411,15-Sep-20
12,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1595,1835,1721,15-Sep-20
13,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1350,1511,1411,14-Sep-20
14,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1611,2050,1851,14-Sep-20
15,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1466,1900,1651,11-Aug-20
16,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1700,2300,2000,11-Aug-20
17,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1350,1700,1511,10-Aug-20
18,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1691,2131,1811,10-Aug-20
19,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1400,1701,1601,8-Aug-20
20,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1711,1941,1811,8-Aug-20
21,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1678,1778,1711,23-Jul-20
22,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1800,2231,2011,23-Jul-20
23,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1665,1700,1671,22-Jul-20
24,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1761,2100,1861,22-Jul-20
25,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1680,1800,1751,20-Jul-20
26,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1950,2220,2121,20-Jul-20
27,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1610,1822,1711,14-Jul-20
28,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,2050,2478,2300,14-Jul-20
29,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1640,1741,1681,9-Jul-20
30,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1908,2151,2000,9-Jul-20
31,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1600,1781,1651,7-Jul-20
32,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,1911,2350,2111,7-Jul-20
33,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1671,1802,1721,4-Jul-20
34,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,2100,2300,2200,4-Jul-20
35,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1695,1900,1761,3-Jul-20
36,Jalgaon,Pachora,Jowar(Sorghum),Other,FAQ,2111,2300,2211,3-Jul-20
37,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),FAQ,1700,1900,1800,2-Jul-20
