"Min,Max,Modal Price from Maharashtra,Osmanabad[Jowar(Sorghum)],Paranda from 01-Jan-2010To24-Oct-2020 (Total-546) (Total-546)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2000,2500,2200,26-Sep-20
2,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2050,2050,2050,24-Sep-20
3,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1850,2100,2000,23-Sep-20
4,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1800,2020,1950,22-Sep-20
5,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1750,2010,1800,21-Sep-20
6,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2100,2100,2100,19-Sep-20
7,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2000,2200,2000,18-Sep-20
8,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1900,2350,2250,16-Sep-20
9,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1850,2100,2000,15-Sep-20
10,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1800,1800,1800,14-Sep-20
11,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2000,2150,2075,11-Sep-20
12,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1900,2100,2000,9-Sep-20
13,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2100,2400,2300,7-Sep-20
14,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2150,2300,2200,5-Sep-20
15,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2150,3000,2200,4-Sep-20
16,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1950,2300,2000,3-Sep-20
17,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1850,2100,2000,2-Sep-20
18,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1850,2300,2000,31-Aug-20
19,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2000,2300,2100,28-Aug-20
20,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1650,1850,1750,27-Aug-20
21,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1800,2900,2750,26-Aug-20
22,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1850,2200,2150,25-Aug-20
23,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1950,2150,2000,24-Aug-20
24,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2325,2800,2445,20-Aug-20
25,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,2840,2650,19-Aug-20
26,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,1950,2300,2200,17-Aug-20
27,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,3000,2700,12-Aug-20
28,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2280,3050,2630,11-Aug-20
29,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,2775,2450,10-Aug-20
30,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2200,2725,2450,7-Aug-20
31,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2500,2800,2700,6-Aug-20
32,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,2800,2450,5-Aug-20
33,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,3000,2600,4-Aug-20
34,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2250,2800,2400,30-Jul-20
35,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2350,2800,2450,29-Jul-20
36,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2300,3000,2700,28-Jul-20
37,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2300,2650,2500,27-Jul-20
38,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2260,2800,2350,24-Jul-20
39,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2377,3000,2600,23-Jul-20
40,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2200,2780,2500,22-Jul-20
41,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2400,3000,2650,21-Jul-20
42,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2300,2990,2700,20-Jul-20
43,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2450,3200,2950,17-Jul-20
44,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2550,2740,2700,16-Jul-20
45,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2400,2530,2430,15-Jul-20
46,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2350,3380,2500,14-Jul-20
47,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2400,3200,2900,13-Jul-20
48,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2400,2540,2440,10-Jul-20
49,Osmanabad,Paranda,Jowar(Sorghum),Other,FAQ,2500,3100,2600,9-Jul-20
