"Min,Max,Modal Price from Maharashtra,Ahmednagar[Jowar(Sorghum)],Pathardi from 01-Jan-2010To24-Oct-2020 (Total-820) (Total-820)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2000,2500,2200,10-Oct-20
2,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2000,2500,2100,7-Oct-20
3,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2000,2500,2100,3-Oct-20
4,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2000,2700,2500,19-Sep-20
5,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1900,2700,2000,16-Sep-20
6,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,1900,2250,2000,22-Aug-20
7,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2300,3500,3000,19-Aug-20
8,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2600,3500,3250,15-Aug-20
9,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2150,2900,2500,12-Aug-20
10,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2570,4000,3800,8-Aug-20
11,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2570,2700,2600,1-Aug-20
12,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2570,2800,2600,29-Jul-20
13,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2580,4200,4000,15-Jul-20
14,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2570,4500,4000,11-Jul-20
15,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2600,4500,4000,8-Jul-20
16,Ahmednagar,Pathardi,Jowar(Sorghum),Other,FAQ,2580,4500,4000,4-Jul-20
