"Min,Max,Modal Price from Maharashtra,Parbhani[Jowar(Sorghum)],Purna from 01-Jan-2010To24-Oct-2020 (Total-186) (Total-186)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1702,1702,1702,24-Sep-20
2,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2900,2900,2900,14-May-20
3,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,3000,3000,3000,11-Jan-20
4,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1861,2487,2100,10-Oct-19
5,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2101,2401,2250,16-Sep-19
6,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2200,2200,2200,21-Aug-19
7,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2500,2500,2500,10-Jul-19
8,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2252,2491,2350,8-Jul-19
9,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1961,1961,1961,30-Jun-19
10,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1,1,1,13-Jun-19
11,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2401,2750,2700,23-Apr-19
12,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2100,2490,2147,5-Feb-19
13,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,2401,2401,2401,1-Jan-19
14,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1600,1600,1600,26-Sep-18
15,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1600,1600,1600,13-Aug-18
16,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1300,1700,1402,5-May-18
17,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1841,1841,1841,28-Apr-18
18,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1200,1200,1200,26-Apr-18
19,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1411,1470,1440,3-Feb-18
20,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1300,1401,1361,29-Jan-18
21,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1060,1651,1583,22-Jan-18
22,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1617,1617,1617,16-Jan-18
23,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1555,1671,1555,27-Dec-17
24,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1425,1425,1425,25-Dec-17
25,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1500,1500,1500,19-Dec-17
26,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1490,1490,1490,18-Dec-17
27,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1060,1060,1060,27-Nov-17
28,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1500,1500,1500,20-Nov-17
29,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1391,1391,1391,27-Sep-17
30,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1391,1391,1391,13-Sep-17
31,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1250,1450,1350,6-Sep-17
32,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1500,1653,1576,5-Sep-17
33,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1525,1525,1525,23-Aug-17
34,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1660,1660,1660,7-Aug-17
35,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1540,1540,1540,4-Aug-17
36,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1450,1450,1450,14-Jul-17
37,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1775,1775,1775,29-Jun-17
38,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1300,1300,1300,28-Jun-17
39,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1450,1570,1570,12-May-17
40,Parbhani,Purna,Jowar(Sorghum),Other,FAQ,1602,1861,1758,26-Apr-17
