"Min,Max,Modal Price from Maharashtra,Ahmednagar[Jowar(Sorghum)],Sangamner from 01-Jan-2010To24-Oct-2020 (Total-599) (Total-599)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1000,1000,1000,12-Oct-20
2,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2200,2200,2200,25-Sep-20
3,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1900,1900,1900,22-Jul-20
4,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1151,2900,2026,10-Jul-20
5,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1800,3200,2500,15-Jun-20
6,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1990,1990,1990,8-Jun-20
7,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2500,2500,2500,5-Jun-20
8,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1071,1071,1071,1-Jun-20
9,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1500,2050,1775,29-May-20
10,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2200,2200,2200,13-Mar-20
11,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2050,2050,2050,9-Mar-20
12,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2401,2401,2401,6-Mar-20
13,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1499,2351,1925,28-Feb-20
14,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2200,2200,2200,12-Feb-20
15,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2501,2501,2501,10-Feb-20
16,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2800,2800,2800,3-Feb-20
17,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1246,1600,1423,24-Jan-20
18,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2850,3101,2976,20-Jan-20
19,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,3200,3200,3200,17-Jan-20
20,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2700,3150,2925,15-Jan-20
21,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2800,2801,2800,10-Jan-20
22,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1325,3101,2213,8-Jan-20
23,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2800,3295,3048,3-Jan-20
24,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1500,3101,2300,27-Dec-19
25,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1900,2816,2358,23-Dec-19
26,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1000,2200,1600,16-Dec-19
27,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2600,2876,2738,13-Dec-19
28,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2700,2700,2700,6-Dec-19
29,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1446,1446,1446,4-Dec-19
30,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1751,1751,1751,29-Nov-19
31,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1401,1401,1401,27-Nov-19
32,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1500,2813,2156,13-Nov-19
33,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2881,2881,2881,8-Nov-19
34,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2690,2690,2690,18-Oct-19
35,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2690,2690,2690,16-Oct-19
36,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1790,2900,2345,4-Oct-19
37,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2950,2950,2950,27-Sep-19
38,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2500,2500,2500,25-Sep-19
39,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,2775,2775,2775,23-Sep-19
40,Ahmednagar,Sangamner,Jowar(Sorghum),Other,FAQ,1851,2900,2375,20-Sep-19
