"Min,Max,Modal Price from Maharashtra,Sangli[Jowar(Sorghum)],Sangli from 01-Jan-2010To24-Oct-2020 (Total-1732) (Total-1732)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2640,3800,3220,9-Oct-20
2,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2640,3800,3220,7-Oct-20
3,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2620,2800,2710,30-Sep-20
4,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2620,2800,2710,29-Sep-20
5,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2640,4000,3320,28-Sep-20
6,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2620,2800,2710,26-Sep-20
7,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2620,2800,2710,25-Sep-20
8,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2640,3800,3220,24-Sep-20
9,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2570,3500,3030,23-Sep-20
10,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,22-Sep-20
11,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,21-Sep-20
12,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2570,4300,3435,18-Sep-20
13,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2570,3800,3185,17-Sep-20
14,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2700,3300,3000,11-Sep-20
15,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2700,3200,2950,2-Sep-20
16,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2550,2600,2575,29-Aug-20
17,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2600,2800,2700,28-Aug-20
18,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2550,2700,2625,27-Aug-20
19,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2600,2700,2650,24-Aug-20
20,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2600,4000,3300,20-Aug-20
21,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,19-Aug-20
22,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2550,2800,2675,18-Aug-20
23,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,17-Aug-20
24,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2600,4500,3550,14-Aug-20
25,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,13-Aug-20
26,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,12-Aug-20
27,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,3200,4500,3850,11-Aug-20
28,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2600,3400,3000,10-Aug-20
29,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2700,3500,3100,7-Aug-20
30,Sangli,Sangli,Jowar(Sorghum),Other,FAQ,2560,2800,2680,6-Aug-20
