"Min,Max,Modal Price from Maharashtra,Parbhani[Jowar(Sorghum)],Selu from 01-Jan-2010To24-Oct-2020 (Total-304) (Total-304)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1800,1600,8-Oct-20
2,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2200,2600,2500,20-Jun-20
3,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2300,2901,2700,13-Jun-20
4,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2020,3000,2500,14-May-20
5,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1700,2700,2650,5-May-20
6,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1300,2500,2000,18-Apr-20
7,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2500,3100,2500,15-Apr-20
8,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,3100,3100,3100,22-Nov-19
9,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2700,2700,2700,15-Nov-19
10,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2100,2100,2100,26-Aug-19
11,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2280,2280,2280,5-Jul-19
12,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2100,2100,2100,1-Jun-19
13,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2300,2300,2300,30-May-19
14,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2500,2600,2550,29-May-19
15,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2800,2800,2800,14-May-19
16,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2100,2100,2100,13-May-19
17,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2200,2200,2200,8-May-19
18,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2200,2200,2200,6-May-19
19,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2100,2400,2400,4-May-19
20,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2300,2500,2400,3-May-19
21,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2200,2200,2200,2-May-19
22,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2000,2000,2000,24-Apr-19
23,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2000,2000,2000,9-Apr-19
24,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2000,2000,2000,8-Apr-19
25,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2300,2300,2300,20-Mar-19
26,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2000,2000,2000,13-Mar-19
27,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2200,2400,2300,27-Feb-19
28,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2520,2550,2525,26-Feb-19
29,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,2500,2500,2500,21-Feb-19
30,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1680,1680,1680,13-Feb-19
31,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1620,1610,31-Oct-18
32,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1620,1620,1620,11-Oct-18
33,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1400,1400,8-Oct-18
34,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1650,1625,24-Sep-18
35,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1650,1650,1650,21-Sep-18
36,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1200,1200,1200,1-Aug-18
37,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,31-Jul-18
38,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1475,1475,1475,30-Jul-18
39,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,27-Jul-18
40,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1200,1691,1600,20-Jul-18
41,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,19-Jul-18
42,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1700,1761,1720,17-Jul-18
43,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1625,1610,16-Jul-18
44,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1350,1650,1600,12-Jul-18
45,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1600,1600,11-Jul-18
46,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1650,1550,30-Jun-18
47,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1680,1650,27-Jun-18
48,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1650,1650,1650,23-Jun-18
49,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1700,1600,19-Jun-18
50,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1000,1700,1400,15-Jun-18
51,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1250,1250,1250,23-May-18
52,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1683,1450,5-May-18
53,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1429,1530,1450,2-May-18
54,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1200,1800,1550,24-Apr-18
55,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1290,1671,1350,13-Apr-18
56,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1500,1400,24-Mar-18
57,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1675,1500,10-Mar-18
58,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1301,1655,1301,5-Mar-18
59,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1460,1525,1460,27-Feb-18
60,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1400,1400,1-Feb-18
61,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1300,1500,1350,29-Jan-18
62,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1550,1550,1550,25-Jan-18
63,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1660,1675,1660,23-Jan-18
64,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,20-Jan-18
65,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1581,1600,1581,19-Jan-18
66,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1365,1625,1551,17-Jan-18
67,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1560,1560,1560,13-Jan-18
68,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1450,1700,1700,11-Jan-18
69,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1620,1585,10-Jan-18
70,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1530,1650,1590,9-Jan-18
71,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1575,1600,1576,8-Jan-18
72,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1425,1600,1500,6-Jan-18
73,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1575,1600,1575,5-Jan-18
74,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1601,1590,4-Jan-18
75,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1200,1621,1500,1-Jan-18
76,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1600,1600,27-Dec-17
77,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1615,1560,26-Dec-17
78,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1600,1626,1600,22-Dec-17
79,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1561,1640,1561,20-Dec-17
80,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1575,1600,1575,16-Dec-17
81,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1626,1610,15-Dec-17
82,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,12-Dec-17
83,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1692,1675,7-Dec-17
84,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1560,1601,1600,2-Dec-17
85,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1659,1659,1659,30-Nov-17
86,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1570,1570,1570,29-Nov-17
87,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1601,1570,27-Nov-17
88,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1500,1500,1500,25-Nov-17
89,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1400,1700,1600,20-Nov-17
90,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1645,1673,1645,17-Nov-17
91,Parbhani,Selu,Jowar(Sorghum),Other,FAQ,1650,1660,1650,16-Nov-17
