"Min,Max,Modal Price from Maharashtra,Wardha[Jowar(Sorghum)],Sindi(Selu) from 01-Jan-2010To24-Oct-2020 (Total-16) (Total-16)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1800,2028,1900,30-May-20
2,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,700,700,700,19-May-18
3,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,600,600,600,2-Apr-18
4,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,590,650,600,23-Feb-18
5,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1050,1200,1150,11-Nov-16
6,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,905,1015,955,29-Dec-12
7,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1200,1330,1265,3-Dec-12
8,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,700,900,800,29-Feb-12
9,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,800,900,850,14-Jan-12
10,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,800,1040,920,11-Jan-12
11,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1000,1150,1075,9-Jan-12
12,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,900,1005,955,28-Dec-11
13,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1300,1445,1370,28-Nov-11
14,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1400,1450,1425,25-Nov-11
15,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,1000,1450,1225,23-Nov-11
16,Wardha,Sindi(Selu),Jowar(Sorghum),Other,FAQ,510,800,655,13-Jun-11
