"Min,Max,Modal Price from Maharashtra,Nashik[Jowar(Sorghum)],Suragana from 01-Jan-2010To24-Oct-2020 (Total-11) (Total-11)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,1000,900,14-Oct-11
2,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,1000,1000,1000,15-Apr-11
3,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,900,900,900,1-Apr-11
4,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,1000,900,11-Mar-11
5,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,900,850,25-Feb-11
6,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,800,800,24-Feb-11
7,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,950,900,18-Feb-11
8,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,700,900,800,11-Feb-11
9,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,700,850,800,9-Feb-11
10,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,1000,1000,1000,21-Jan-11
11,Nashik,Suragana,Jowar(Sorghum),Other,FAQ,800,850,800,20-Jan-11
