"Min,Max,Modal Price from Maharashtra,Latur[Jowar(Sorghum)],Udgir from 01-Jan-2010To24-Oct-2020 (Total-716) (Total-716)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1340,1400,1370,6-Feb-20
2,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1360,1400,1380,5-Feb-20
3,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1350,1400,1375,2-Feb-20
4,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1350,1400,1375,1-Feb-20
5,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1400,1420,1410,30-Jan-20
6,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1420,1480,1450,29-Jan-20
7,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1400,1480,1440,28-Jan-20
8,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1400,1500,1450,25-Jan-20
9,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1400,1500,1450,23-Jan-20
10,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1410,1500,1455,22-Jan-20
11,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1440,1500,1470,21-Jan-20
12,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1410,1480,1445,18-Jan-20
13,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1410,1450,1430,17-Jan-20
14,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1450,1500,1475,14-Jan-20
15,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1450,1500,1475,9-Jan-20
16,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1430,1500,1465,7-Jan-20
17,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1440,1500,1470,5-Jan-20
18,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1430,1480,1455,4-Jan-20
19,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1440,1540,1490,3-Jan-20
20,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1450,1480,1465,1-Jan-20
21,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1470,1500,1485,31-Dec-19
22,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1470,1500,1485,29-Dec-19
23,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1475,1500,1487,28-Dec-19
24,Latur,Udgir,Jowar(Sorghum),Jowar (Yellow),FAQ,1480,1510,1495,24-Dec-19
25,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1490,1510,1500,22-Dec-19
26,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1500,1520,1510,21-Dec-19
27,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1480,1520,1500,20-Dec-19
28,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1500,1525,1512,19-Dec-19
29,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1500,1520,1510,18-Dec-19
30,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1500,1550,1525,17-Dec-19
31,Latur,Udgir,Jowar(Sorghum),Jowar (Yellow),FAQ,1500,1550,1525,15-Dec-19
32,Latur,Udgir,Jowar(Sorghum),Jowar (Yellow),FAQ,1480,1500,1490,14-Dec-19
33,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1440,1460,1450,13-Dec-19
34,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1440,1460,1450,12-Dec-19
35,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1450,1470,1460,10-Dec-19
36,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1400,1450,1425,8-Dec-19
37,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1000,2000,1500,11-Mar-18
38,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1010,1020,1015,30-Dec-17
39,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1015,1025,1020,29-Dec-17
40,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1010,1020,1015,28-Dec-17
41,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1015,1025,1020,27-Dec-17
42,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1015,1025,1020,26-Dec-17
43,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1010,1020,1015,22-Dec-17
44,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1000,1010,1005,14-Dec-17
45,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1100,1300,1200,22-Oct-17
46,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1300,1275,12-Aug-17
47,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1300,1300,1300,26-Jul-17
48,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1300,1325,1312,22-Jul-17
49,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1305,1325,1315,21-Jul-17
50,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1300,1300,1300,20-Jul-17
51,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1325,1325,1325,19-Jul-17
52,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1300,1300,1300,18-Jul-17
53,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1300,1300,1300,14-Jul-17
54,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1280,1280,1280,12-Jul-17
55,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1250,1250,11-Jul-17
56,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1250,1250,5-Jul-17
57,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1280,1300,1290,30-Jun-17
58,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1280,1300,1290,29-Jun-17
59,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1250,1250,27-Jun-17
60,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1200,1200,25-Jun-17
61,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1280,1280,1280,20-Jun-17
62,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1250,1225,18-Jun-17
63,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1300,1250,17-Jun-17
64,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1290,1245,10-Jun-17
65,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1260,1255,9-Jun-17
66,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1275,1237,6-Jun-17
67,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1260,1255,4-Jun-17
68,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1260,1230,3-Jun-17
69,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1250,1225,1-Jun-17
70,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1250,1225,24-May-17
71,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1230,1230,1230,20-May-17
72,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1250,1250,1250,19-May-17
73,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1250,1225,17-May-17
74,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1250,1225,16-May-17
75,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1240,1250,1245,14-May-17
76,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1230,1260,1245,13-May-17
77,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1220,1250,1235,12-May-17
78,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1205,1225,1215,2-May-17
79,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1175,1225,1225,18-Jan-17
80,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1170,1230,1230,17-Jan-17
81,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1170,1220,1220,11-Jan-17
82,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1185,1225,1225,10-Jan-17
83,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1180,1200,1200,8-Jan-17
84,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1180,1200,1200,7-Jan-17
85,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1145,1225,1225,6-Jan-17
86,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1170,1220,1220,5-Jan-17
87,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1175,1225,1225,4-Jan-17
88,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1170,1200,1200,3-Jan-17
89,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1170,1220,1220,1-Jan-17
90,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1155,1225,1225,31-Dec-16
91,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1140,1200,1200,30-Dec-16
92,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1120,1200,1200,27-Dec-16
93,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1190,1200,1200,24-Dec-16
94,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1160,1200,1200,23-Dec-16
95,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1150,1200,1200,22-Dec-16
96,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1210,1250,1250,16-Dec-16
97,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1200,1220,1220,11-Dec-16
98,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1205,1230,1230,10-Dec-16
99,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1160,1200,1200,2-Dec-16
100,Latur,Udgir,Jowar(Sorghum),Other,FAQ,1160,1200,1200,1-Dec-16
