"Min,Max,Modal Price from Maharashtra,Chandrapur[Jowar(Sorghum)],Varora from 01-Jan-2010To24-Oct-2020 (Total-10) (Total-10)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1600,1730,1665,15-Jul-20
2,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1700,1750,1725,24-Jun-20
3,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1600,1725,1663,23-Jun-20
4,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1900,2000,1950,20-Jun-20
5,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1900,2000,1950,19-Jun-20
6,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1800,1850,1825,11-Jun-20
7,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1900,2000,1950,27-May-20
8,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1700,2000,1850,18-Apr-20
9,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1300,1400,1350,17-Apr-20
10,Chandrapur,Varora,Jowar(Sorghum),Other,FAQ,1750,1900,1825,15-Apr-20
