"Min,Max,Modal Price from Maharashtra,Sholapur[Maize],Akkalkot from 01-Jan-2010To23-Oct-2020 (Total-41) (Total-41)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Akkalkot,Maize,Other,FAQ,1800,1800,1800,3-Aug-20
2,Sholapur,Akkalkot,Maize,Other,FAQ,1400,1400,1400,14-Jul-20
3,Sholapur,Akkalkot,Maize,Other,FAQ,1300,1300,1300,3-Jul-20
4,Sholapur,Akkalkot,Maize,Other,FAQ,1800,1800,1800,9-Jun-20
5,Sholapur,Akkalkot,Maize,Other,FAQ,1800,1800,1800,7-Dec-19
6,Sholapur,Akkalkot,Maize,Other,FAQ,1500,1700,1600,18-Nov-19
7,Sholapur,Akkalkot,Maize,Other,FAQ,1700,1801,1750,28-Oct-19
8,Sholapur,Akkalkot,Maize,Other,FAQ,2200,2200,2200,19-Sep-19
9,Sholapur,Akkalkot,Maize,Other,FAQ,1400,1401,1400,12-Nov-18
10,Sholapur,Akkalkot,Maize,Other,FAQ,1401,1401,1401,8-Nov-18
11,Sholapur,Akkalkot,Maize,Other,FAQ,1510,1510,1510,20-Oct-17
12,Sholapur,Akkalkot,Maize,Other,FAQ,1238,1238,1238,4-Nov-16
13,Sholapur,Akkalkot,Maize,Other,FAQ,1050,1260,1200,31-Oct-16
14,Sholapur,Akkalkot,Maize,Other,FAQ,1365,1555,1400,11-Oct-16
15,Sholapur,Akkalkot,Maize,Other,FAQ,1400,1511,1450,8-Oct-16
16,Sholapur,Akkalkot,Maize,Other,FAQ,1400,1400,1400,4-Jan-16
17,Sholapur,Akkalkot,Maize,Other,FAQ,1500,1600,1550,12-Nov-15
18,Sholapur,Akkalkot,Maize,Other,FAQ,1585,1585,1585,22-Oct-15
19,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,24-Jan-14
20,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,23-Jan-14
21,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,21-Jan-14
22,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,20-Jan-14
23,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,15-Jan-14
24,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,13-Jan-14
25,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,26-Dec-13
26,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,24-Dec-13
27,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,23-Dec-13
28,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,21-Dec-13
29,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,20-Dec-13
30,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,19-Dec-13
31,Sholapur,Akkalkot,Maize,Other,FAQ,1310,1310,1310,18-Dec-13
32,Sholapur,Akkalkot,Maize,Other,FAQ,1200,1325,1260,24-Oct-12
33,Sholapur,Akkalkot,Maize,Other,FAQ,900,1000,980,27-Oct-11
34,Sholapur,Akkalkot,Maize,Other,FAQ,971,971,971,6-Oct-11
35,Sholapur,Akkalkot,Maize,Other,FAQ,1025,1100,1075,3-Jun-11
36,Sholapur,Akkalkot,Maize,Other,FAQ,1075,1075,1075,31-May-11
37,Sholapur,Akkalkot,Maize,Other,FAQ,1100,1106,1102,27-May-11
38,Sholapur,Akkalkot,Maize,Other,FAQ,1150,1150,1150,25-May-11
39,Sholapur,Akkalkot,Maize,Other,FAQ,1000,1002,1001,4-Apr-11
40,Sholapur,Akkalkot,Maize,Other,FAQ,840,875,860,7-Nov-10
41,Sholapur,Akkalkot,Maize,Yellow,FAQ,840,900,870,17-Oct-10
