"Min,Max,Modal Price from Maharashtra,Jalgaon[Maize],Amalner from 01-Jan-2010To23-Oct-2020 (Total-1467) (Total-1467)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Amalner,Maize,Deshi Red,FAQ,935,1288,1288,14-Oct-20
2,Jalgaon,Amalner,Maize,Deshi Red,FAQ,725,1277,1277,13-Oct-20
3,Jalgaon,Amalner,Maize,Deshi Red,FAQ,872,1250,1250,12-Oct-20
4,Jalgaon,Amalner,Maize,Deshi Red,FAQ,850,1255,1255,10-Oct-20
5,Jalgaon,Amalner,Maize,Deshi Red,FAQ,986,1258,1258,9-Oct-20
6,Jalgaon,Amalner,Maize,Deshi Red,FAQ,985,1273,1273,8-Oct-20
7,Jalgaon,Amalner,Maize,Deshi Red,FAQ,970,1279,1279,7-Oct-20
8,Jalgaon,Amalner,Maize,Deshi Red,FAQ,925,1262,1262,6-Oct-20
9,Jalgaon,Amalner,Maize,Deshi Red,FAQ,961,1200,1200,5-Oct-20
10,Jalgaon,Amalner,Maize,Deshi Red,FAQ,942,1250,1250,3-Oct-20
11,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1280,1280,1-Oct-20
12,Jalgaon,Amalner,Maize,Deshi Red,FAQ,830,1250,1250,30-Sep-20
13,Jalgaon,Amalner,Maize,Deshi Red,FAQ,870,1241,1241,29-Sep-20
14,Jalgaon,Amalner,Maize,Deshi Red,FAQ,870,1268,1268,28-Sep-20
15,Jalgaon,Amalner,Maize,Deshi Red,FAQ,815,1236,1236,26-Sep-20
16,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1160,1300,1300,25-Sep-20
17,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1117,1240,1240,24-Sep-20
18,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1300,1300,23-Sep-20
19,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1358,1358,21-Sep-20
20,Jalgaon,Amalner,Maize,Deshi Red,FAQ,837,1356,1356,19-Sep-20
21,Jalgaon,Amalner,Maize,Deshi Red,FAQ,785,1311,1311,18-Sep-20
22,Jalgaon,Amalner,Maize,Deshi Red,FAQ,801,1255,1255,16-Sep-20
23,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1050,1233,1233,15-Sep-20
24,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1111,1340,1340,12-Sep-20
25,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1163,1217,1217,11-Sep-20
26,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1240,1240,10-Sep-20
27,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1150,1301,1301,9-Sep-20
28,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1150,1300,1300,8-Sep-20
29,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1076,1226,1226,7-Sep-20
30,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1150,1241,1241,5-Sep-20
31,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1190,1229,1229,4-Sep-20
32,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1050,1217,1217,3-Sep-20
33,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1187,1200,1200,2-Sep-20
34,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1164,1188,1188,29-Aug-20
35,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1180,1180,28-Aug-20
36,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1051,1171,1171,27-Aug-20
37,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1025,1215,1215,24-Aug-20
38,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1172,1200,1200,20-Aug-20
39,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1183,1231,1231,19-Aug-20
40,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1160,1200,1200,17-Aug-20
41,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1200,1200,14-Aug-20
42,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1061,1210,1210,13-Aug-20
43,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1131,1211,1211,12-Aug-20
44,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1250,1250,11-Aug-20
45,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1111,1220,1220,10-Aug-20
46,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1177,1212,1212,8-Aug-20
47,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1130,1251,1251,7-Aug-20
48,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1185,1220,1220,6-Aug-20
49,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1101,1221,1221,5-Aug-20
50,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1081,1192,1136,4-Aug-20
51,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1001,1225,1225,31-Jul-20
52,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1194,1194,30-Jul-20
53,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1050,1200,1200,29-Jul-20
54,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1160,1160,28-Jul-20
55,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1075,1151,1151,27-Jul-20
56,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1006,1165,1090,25-Jul-20
57,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1150,1075,24-Jul-20
58,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1050,1201,1130,23-Jul-20
59,Jalgaon,Amalner,Maize,Deshi Red,FAQ,950,1240,1095,22-Jul-20
60,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1075,1231,1231,21-Jul-20
61,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1230,1115,20-Jul-20
62,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1221,1160,18-Jul-20
63,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1076,1225,1150,17-Jul-20
64,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1256,1178,16-Jul-20
65,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1151,1249,1200,15-Jul-20
66,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1151,1212,1181,14-Jul-20
67,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1150,1207,1207,13-Jul-20
68,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1051,1251,1251,10-Jul-20
69,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1100,1300,1300,9-Jul-20
70,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1000,1051,1051,8-Jul-20
71,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1051,1260,1155,7-Jul-20
72,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1125,1361,1361,6-Jul-20
