"Min,Max,Modal Price from Maharashtra,Sholapur[Maize],Barshi from 01-Jan-2010To23-Oct-2020 (Total-959) (Total-959)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Barshi,Maize,Other,FAQ,1275,1275,1275,7-Oct-20
2,Sholapur,Barshi,Maize,Other,FAQ,1150,1325,1250,5-Oct-20
3,Sholapur,Barshi,Maize,Other,FAQ,1200,1250,1200,3-Oct-20
4,Sholapur,Barshi,Maize,Other,FAQ,1250,1250,1250,28-Sep-20
5,Sholapur,Barshi,Maize,Other,FAQ,1200,1250,1200,23-Sep-20
6,Sholapur,Barshi,Maize,Other,FAQ,1200,1200,1200,22-Sep-20
7,Sholapur,Barshi,Maize,Other,FAQ,1350,1350,1350,18-Sep-20
8,Sholapur,Barshi,Maize,Other,FAQ,1200,1300,1250,17-Sep-20
9,Sholapur,Barshi,Maize,Other,FAQ,1110,1400,1110,14-Sep-20
10,Sholapur,Barshi,Maize,Other,FAQ,1250,1400,1300,10-Sep-20
11,Sholapur,Barshi,Maize,Other,FAQ,1150,1300,1275,9-Sep-20
12,Sholapur,Barshi,Maize,Other,FAQ,1300,1400,1300,7-Sep-20
13,Sholapur,Barshi,Maize,Other,FAQ,1400,1400,1400,5-Sep-20
14,Sholapur,Barshi,Maize,Other,FAQ,1300,1300,1300,4-Sep-20
15,Sholapur,Barshi,Maize,Other,FAQ,1300,1300,1300,3-Sep-20
16,Sholapur,Barshi,Maize,Other,FAQ,1200,1300,1275,26-Aug-20
17,Sholapur,Barshi,Maize,Other,FAQ,1250,1325,1300,11-Aug-20
18,Sholapur,Barshi,Maize,Other,FAQ,1325,1331,1325,10-Aug-20
19,Sholapur,Barshi,Maize,Other,FAQ,1300,1300,1300,6-Aug-20
20,Sholapur,Barshi,Maize,Other,FAQ,1300,1300,1300,5-Aug-20
21,Sholapur,Barshi,Maize,Other,FAQ,1300,1400,1300,11-Jul-20
22,Sholapur,Barshi,Maize,Other,FAQ,1200,1425,1300,10-Jul-20
23,Sholapur,Barshi,Maize,Other,FAQ,1100,1350,1200,9-Jul-20
24,Sholapur,Barshi,Maize,Other,FAQ,1200,1425,1300,8-Jul-20
25,Sholapur,Barshi,Maize,Other,FAQ,1200,1425,1300,7-Jul-20
26,Sholapur,Barshi,Maize,Other,FAQ,1200,1410,1300,6-Jul-20
27,Sholapur,Barshi,Maize,Other,FAQ,1200,1410,1300,3-Jul-20
28,Sholapur,Barshi,Maize,Other,FAQ,1250,1400,1300,1-Jul-20
29,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,27-Jun-20
30,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1350,26-Jun-20
31,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1200,25-Jun-20
32,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,24-Jun-20
33,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,23-Jun-20
34,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,22-Jun-20
35,Sholapur,Barshi,Maize,Other,FAQ,1000,1325,1200,13-Jun-20
36,Sholapur,Barshi,Maize,Other,FAQ,1200,1300,1250,12-Jun-20
37,Sholapur,Barshi,Maize,Other,FAQ,1100,1300,1100,11-Jun-20
38,Sholapur,Barshi,Maize,Other,FAQ,1300,1550,1450,10-Jun-20
39,Sholapur,Barshi,Maize,Other,FAQ,1200,1600,1400,9-Jun-20
40,Sholapur,Barshi,Maize,Other,FAQ,1100,1250,1200,8-Jun-20
41,Sholapur,Barshi,Maize,Other,FAQ,1200,1350,1250,6-Jun-20
42,Sholapur,Barshi,Maize,Other,FAQ,1250,1325,1250,5-Jun-20
43,Sholapur,Barshi,Maize,Other,FAQ,1325,1325,1325,4-Jun-20
44,Sholapur,Barshi,Maize,Other,FAQ,1125,1300,1200,3-Jun-20
45,Sholapur,Barshi,Maize,Other,FAQ,1150,1250,1200,2-Jun-20
46,Sholapur,Barshi,Maize,Other,FAQ,1150,1300,1200,30-May-20
47,Sholapur,Barshi,Maize,Other,FAQ,1100,1300,1200,29-May-20
48,Sholapur,Barshi,Maize,Other,FAQ,1125,1300,1275,28-May-20
49,Sholapur,Barshi,Maize,Other,FAQ,1200,1300,1250,27-May-20
50,Sholapur,Barshi,Maize,Other,FAQ,1200,1350,1200,26-May-20
51,Sholapur,Barshi,Maize,Other,FAQ,1300,1390,1350,20-May-20
52,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,19-May-20
53,Sholapur,Barshi,Maize,Other,FAQ,1250,1550,1350,14-May-20
54,Sholapur,Barshi,Maize,Other,FAQ,1200,1400,1300,9-May-20
55,Sholapur,Barshi,Maize,Other,FAQ,1450,1450,1450,21-Mar-20
56,Sholapur,Barshi,Maize,Other,FAQ,1315,1315,1315,18-Mar-20
57,Sholapur,Barshi,Maize,Other,FAQ,1450,1450,1450,16-Mar-20
58,Sholapur,Barshi,Maize,Other,FAQ,1550,1550,1550,7-Mar-20
59,Sholapur,Barshi,Maize,Other,FAQ,1550,1550,1550,6-Mar-20
60,Sholapur,Barshi,Maize,Other,FAQ,1450,1600,1450,4-Mar-20
61,Sholapur,Barshi,Maize,Other,FAQ,1550,1550,1550,3-Mar-20
62,Sholapur,Barshi,Maize,Other,FAQ,1425,1600,1500,28-Feb-20
63,Sholapur,Barshi,Maize,Other,FAQ,1500,1600,1500,27-Feb-20
64,Sholapur,Barshi,Maize,Other,FAQ,1000,1000,1000,26-Feb-20
65,Sholapur,Barshi,Maize,Other,FAQ,1500,1500,1500,24-Feb-20
66,Sholapur,Barshi,Maize,Other,FAQ,1500,1601,1525,22-Feb-20
67,Sholapur,Barshi,Maize,Other,FAQ,1600,1800,1700,18-Feb-20
68,Sholapur,Barshi,Maize,Other,FAQ,1750,1800,1750,17-Feb-20
69,Sholapur,Barshi,Maize,Other,FAQ,1700,1800,1700,12-Feb-20
70,Sholapur,Barshi,Maize,Other,FAQ,1675,1850,1750,11-Feb-20
71,Sholapur,Barshi,Maize,Other,FAQ,1550,1850,1700,10-Feb-20
72,Sholapur,Barshi,Maize,Other,FAQ,1800,1850,1800,7-Feb-20
73,Sholapur,Barshi,Maize,Other,FAQ,1750,1900,1800,6-Feb-20
74,Sholapur,Barshi,Maize,Other,FAQ,1750,1800,1750,5-Feb-20
75,Sholapur,Barshi,Maize,Other,FAQ,1600,1811,1650,4-Feb-20
76,Sholapur,Barshi,Maize,Other,FAQ,1750,1900,1811,3-Feb-20
77,Sholapur,Barshi,Maize,Other,FAQ,1750,1855,1800,1-Feb-20
78,Sholapur,Barshi,Maize,Other,FAQ,1600,1700,1600,31-Jan-20
79,Sholapur,Barshi,Maize,Other,FAQ,1750,1775,1750,30-Jan-20
80,Sholapur,Barshi,Maize,Other,FAQ,1775,1900,1800,29-Jan-20
81,Sholapur,Barshi,Maize,Other,FAQ,1650,1800,1700,27-Jan-20
82,Sholapur,Barshi,Maize,Other,FAQ,1650,1850,1725,25-Jan-20
83,Sholapur,Barshi,Maize,Other,FAQ,1750,1950,1850,1-Jan-20
84,Sholapur,Barshi,Maize,Other,FAQ,1775,2000,1875,31-Dec-19
85,Sholapur,Barshi,Maize,Other,FAQ,1750,1925,1800,30-Dec-19
86,Sholapur,Barshi,Maize,Other,FAQ,1800,1900,1850,28-Dec-19
87,Sholapur,Barshi,Maize,Other,FAQ,1650,1950,1800,27-Dec-19
88,Sholapur,Barshi,Maize,Other,FAQ,1600,2000,1850,26-Dec-19
89,Sholapur,Barshi,Maize,Other,FAQ,1800,2100,2000,24-Dec-19
90,Sholapur,Barshi,Maize,Other,FAQ,1600,2200,1900,23-Dec-19
91,Sholapur,Barshi,Maize,Other,FAQ,1700,2000,1850,21-Dec-19
92,Sholapur,Barshi,Maize,Other,FAQ,1600,1911,1800,20-Dec-19
93,Sholapur,Barshi,Maize,Other,FAQ,1600,1900,1800,19-Dec-19
94,Sholapur,Barshi,Maize,Other,FAQ,1600,1900,1800,17-Dec-19
95,Sholapur,Barshi,Maize,Other,FAQ,1650,1901,1800,16-Dec-19
96,Sholapur,Barshi,Maize,Other,FAQ,1600,1831,1750,13-Dec-19
97,Sholapur,Barshi,Maize,Other,FAQ,1600,1800,1700,12-Dec-19
98,Sholapur,Barshi,Maize,Other,FAQ,1400,1750,1725,10-Dec-19
99,Sholapur,Barshi,Maize,Other,FAQ,1650,1850,1725,9-Dec-19
100,Sholapur,Barshi,Maize,Other,FAQ,1125,1800,1650,7-Dec-19
101,Sholapur,Barshi,Maize,Other,FAQ,1460,1840,1600,6-Dec-19
102,Sholapur,Barshi,Maize,Other,FAQ,1465,1815,1681,5-Dec-19
103,Sholapur,Barshi,Maize,Other,FAQ,1460,1811,1631,4-Dec-19
104,Sholapur,Barshi,Maize,Other,FAQ,1675,1700,1675,3-Dec-19
105,Sholapur,Barshi,Maize,Other,FAQ,1550,1800,1675,27-Nov-19
106,Sholapur,Barshi,Maize,Other,FAQ,1525,1671,1600,25-Nov-19
107,Sholapur,Barshi,Maize,Other,FAQ,1600,1600,1600,23-Nov-19
108,Sholapur,Barshi,Maize,Other,FAQ,1400,1721,1550,22-Nov-19
109,Sholapur,Barshi,Maize,Other,FAQ,1550,1650,1600,21-Nov-19
110,Sholapur,Barshi,Maize,Other,FAQ,1550,1750,1650,20-Nov-19
111,Sholapur,Barshi,Maize,Other,FAQ,1600,1800,1675,19-Nov-19
112,Sholapur,Barshi,Maize,Other,FAQ,1500,1751,1650,18-Nov-19
113,Sholapur,Barshi,Maize,Other,FAQ,1550,2000,1700,16-Nov-19
114,Sholapur,Barshi,Maize,Other,FAQ,1525,1525,1525,15-Nov-19
115,Sholapur,Barshi,Maize,Other,FAQ,1600,1881,1775,14-Nov-19
116,Sholapur,Barshi,Maize,Other,FAQ,1600,1800,1700,13-Nov-19
117,Sholapur,Barshi,Maize,Other,FAQ,1825,1825,1825,11-Nov-19
118,Sholapur,Barshi,Maize,Other,FAQ,1500,1825,1700,9-Nov-19
119,Sholapur,Barshi,Maize,Other,FAQ,1800,1900,1800,7-Nov-19
120,Sholapur,Barshi,Maize,Other,FAQ,1800,2020,1900,6-Nov-19
121,Sholapur,Barshi,Maize,Other,FAQ,2000,2000,2000,5-Nov-19
122,Sholapur,Barshi,Maize,Other,FAQ,1776,1776,1776,4-Nov-19
123,Sholapur,Barshi,Maize,Other,FAQ,1800,1800,1800,2-Nov-19
124,Sholapur,Barshi,Maize,Other,FAQ,1800,1850,1850,1-Nov-19
125,Sholapur,Barshi,Maize,Other,FAQ,1500,2000,1750,31-Oct-19
126,Sholapur,Barshi,Maize,Other,FAQ,1700,2050,1850,30-Oct-19
127,Sholapur,Barshi,Maize,Other,FAQ,5400,5800,5600,4-Oct-19
128,Sholapur,Barshi,Maize,Other,FAQ,2350,2350,2350,13-Sep-19
129,Sholapur,Barshi,Maize,Other,FAQ,1975,1975,1975,6-Sep-19
130,Sholapur,Barshi,Maize,Other,FAQ,1975,1975,1975,5-Sep-19
131,Sholapur,Barshi,Maize,Other,FAQ,1850,1850,1850,13-Aug-19
132,Sholapur,Barshi,Maize,Other,FAQ,2500,2500,2500,24-Jul-19
133,Sholapur,Barshi,Maize,Other,FAQ,2700,2700,2700,19-Jul-19
134,Sholapur,Barshi,Maize,Other,FAQ,1825,2700,1825,18-Jul-19
135,Sholapur,Barshi,Maize,Other,FAQ,2600,2700,2600,13-Jul-19
136,Sholapur,Barshi,Maize,Other,FAQ,2200,2200,2200,9-Jul-19
