"Min,Max,Modal Price from Maharashtra,Jalgaon[Maize],Bhusaval from 01-Jan-2010To23-Oct-2020 (Total-167) (Total-167)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,13-Jun-20
2,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,8-Jun-20
3,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,1-Jun-20
4,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1750,1750,1750,27-Jan-20
5,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1800,1800,1800,14-Dec-19
6,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1900,1900,1900,7-Dec-19
7,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,31-May-19
8,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,22-May-19
9,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,14-May-19
10,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,11-May-19
11,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,3-May-19
12,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,30-Apr-19
13,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1851,1851,1851,18-Apr-19
14,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1900,1900,1900,29-Mar-19
15,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1750,1780,1750,18-Jan-19
16,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1550,1550,1550,16-Jan-19
17,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1500,1500,1500,26-Dec-18
18,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1700,1700,1700,20-Dec-18
19,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1375,1375,1375,14-Nov-18
20,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,5-Nov-18
21,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,12-Oct-18
22,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1450,1450,1450,5-Oct-18
23,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1460,1460,1460,29-Sep-18
24,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,25-Jul-18
25,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1325,1325,1325,21-Jul-18
26,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,14-Jul-18
27,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,7-Jul-18
28,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,28-Jun-18
29,Jalgaon,Bhusaval,Maize,Yellow,FAQ,900,900,900,20-Jun-18
30,Jalgaon,Bhusaval,Maize,Yellow,FAQ,900,900,900,14-Jun-18
31,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1150,1150,1150,11-Jun-18
32,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,7-Jun-18
33,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1000,1200,1000,19-May-18
34,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,17-May-18
35,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1111,1200,1111,14-May-18
36,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1150,1150,1150,25-Apr-18
37,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,14-Mar-18
38,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1050,1050,1050,13-Mar-18
39,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1060,1060,1060,8-Mar-18
40,Jalgaon,Bhusaval,Maize,Yellow,FAQ,900,900,900,30-Nov-17
41,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,14-Nov-17
42,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,13-Nov-17
43,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,10-Nov-17
44,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1125,1125,1125,3-Nov-17
45,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,27-Sep-17
46,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,18-Sep-17
47,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,7-Sep-17
48,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1300,1300,1300,3-Aug-17
49,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1200,1200,1200,15-Jul-17
50,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,19-Jun-17
51,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,16-Jun-17
52,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,14-Jun-17
53,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1325,1300,12-Jun-17
54,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1325,1200,7-Jun-17
55,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1325,1300,6-Jun-17
56,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1225,1200,5-Jun-17
57,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,2-Jun-17
58,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1320,1320,1320,1-Jun-17
59,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,31-May-17
60,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,30-May-17
61,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,29-May-17
62,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,27-May-17
63,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,20-May-17
64,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,17-May-17
65,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,11-May-17
66,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,8-May-17
67,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1325,1325,1325,4-May-17
68,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,3-May-17
69,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1450,1450,1450,29-Apr-17
70,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1450,1300,25-Apr-17
71,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,22-Apr-17
72,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,18-Apr-17
73,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,15-Apr-17
74,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1300,1300,1300,10-Apr-17
75,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,5-Apr-17
76,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1400,1400,1400,11-Mar-17
77,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,1-Mar-17
78,Jalgaon,Bhusaval,Maize,Deshi Red,FAQ,1310,1310,1310,20-Feb-17
79,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,4-Feb-17
80,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1100,1100,1100,1-Feb-17
81,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,18-Jan-17
82,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1250,1250,1250,17-Jan-17
83,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1325,1325,1325,5-Jan-17
84,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1070,1070,1070,21-Dec-16
85,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,17-Dec-16
86,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1200,1200,16-Dec-16
87,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1150,1150,1150,13-Dec-16
88,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1200,1270,1200,1-Dec-16
89,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1150,1150,1150,9-Nov-16
90,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1150,1150,1150,2-Nov-16
91,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1050,1050,1050,25-Oct-16
92,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1050,1050,1050,22-Oct-16
93,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1600,1600,1600,30-Jul-16
94,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1450,1450,1450,14-Jun-16
95,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1390,1390,1390,9-Jun-16
96,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1400,1400,1400,8-Jun-16
97,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1350,1350,1350,7-Jun-16
98,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1350,1375,1350,4-Jun-16
99,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1350,1350,1350,28-May-16
100,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1325,1375,1350,23-May-16
101,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1350,1350,1350,18-May-16
102,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1325,1325,1325,26-Apr-16
103,Jalgaon,Bhusaval,Maize,Yellow,FAQ,1350,1350,1350,24-Sep-13
104,Jalgaon,Bhusaval,Maize,Other,FAQ,1200,1200,1200,25-Jul-13
105,Jalgaon,Bhusaval,Maize,Other,FAQ,1250,1250,1250,20-Jul-13
106,Jalgaon,Bhusaval,Maize,Other,FAQ,1300,1300,1300,3-Jun-13
107,Jalgaon,Bhusaval,Maize,Other,FAQ,1100,1200,1200,1-Jun-13
108,Jalgaon,Bhusaval,Maize,Other,FAQ,1200,1200,1200,17-Apr-13
109,Jalgaon,Bhusaval,Maize,Other,FAQ,1225,1225,1225,3-Apr-13
110,Jalgaon,Bhusaval,Maize,Other,FAQ,1275,1275,1275,20-Dec-12
111,Jalgaon,Bhusaval,Maize,Other,FAQ,1280,1280,1280,19-Dec-12
112,Jalgaon,Bhusaval,Maize,Other,FAQ,1400,1400,1400,15-Dec-12
113,Jalgaon,Bhusaval,Maize,Other,FAQ,1250,1250,1250,3-Dec-12
114,Jalgaon,Bhusaval,Maize,Other,FAQ,1200,1250,1200,23-Nov-12
115,Jalgaon,Bhusaval,Maize,Other,FAQ,1200,1200,1200,19-Nov-12
116,Jalgaon,Bhusaval,Maize,Other,FAQ,1060,1060,1060,10-Nov-12
117,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,1-Jun-12
118,Jalgaon,Bhusaval,Maize,Other,FAQ,850,850,850,30-May-12
119,Jalgaon,Bhusaval,Maize,Other,FAQ,851,851,851,29-May-12
120,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,25-May-12
121,Jalgaon,Bhusaval,Maize,Other,FAQ,951,951,951,18-May-12
122,Jalgaon,Bhusaval,Maize,Other,FAQ,930,1000,930,15-May-12
123,Jalgaon,Bhusaval,Maize,Other,FAQ,1251,1251,1251,14-May-12
124,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,12-May-12
125,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,11-May-12
126,Jalgaon,Bhusaval,Maize,Other,FAQ,970,970,970,9-May-12
127,Jalgaon,Bhusaval,Maize,Other,FAQ,1050,1050,1050,2-May-12
128,Jalgaon,Bhusaval,Maize,Other,FAQ,1050,1140,1050,7-Apr-12
129,Jalgaon,Bhusaval,Maize,Other,FAQ,1100,1100,1100,21-Mar-12
130,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,20-Mar-12
131,Jalgaon,Bhusaval,Maize,Other,FAQ,1050,1050,1050,27-Feb-12
132,Jalgaon,Bhusaval,Maize,Other,FAQ,1000,1000,1000,25-Feb-12
133,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,18-Feb-12
134,Jalgaon,Bhusaval,Maize,Other,FAQ,975,975,975,9-Feb-12
135,Jalgaon,Bhusaval,Maize,Other,FAQ,1125,1125,1125,13-Jan-12
136,Jalgaon,Bhusaval,Maize,Other,FAQ,850,850,850,2-Dec-11
137,Jalgaon,Bhusaval,Maize,Other,FAQ,960,1113,960,28-Nov-11
138,Jalgaon,Bhusaval,Maize,Other,FAQ,950,1075,980,18-Nov-11
139,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,17-Nov-11
140,Jalgaon,Bhusaval,Maize,Other,FAQ,980,980,980,16-Nov-11
141,Jalgaon,Bhusaval,Maize,Other,FAQ,930,930,930,15-Nov-11
142,Jalgaon,Bhusaval,Maize,Other,FAQ,930,930,930,14-Nov-11
143,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,11-Nov-11
144,Jalgaon,Bhusaval,Maize,Other,FAQ,1025,1025,1025,31-Oct-11
145,Jalgaon,Bhusaval,Maize,Other,FAQ,1050,1050,1050,4-Jul-11
146,Jalgaon,Bhusaval,Maize,Other,FAQ,1021,1021,1021,9-May-11
147,Jalgaon,Bhusaval,Maize,Other,FAQ,1105,1105,1105,3-May-11
148,Jalgaon,Bhusaval,Maize,Other,FAQ,925,925,925,29-Apr-11
149,Jalgaon,Bhusaval,Maize,Other,FAQ,1075,1075,1075,28-Apr-11
150,Jalgaon,Bhusaval,Maize,Other,FAQ,1100,1100,1100,23-Apr-11
151,Jalgaon,Bhusaval,Maize,Other,FAQ,950,950,950,4-Mar-11
152,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,17-Feb-11
153,Jalgaon,Bhusaval,Maize,Other,FAQ,875,875,875,5-Feb-11
154,Jalgaon,Bhusaval,Maize,Other,FAQ,875,875,875,4-Feb-11
155,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,27-Jan-11
156,Jalgaon,Bhusaval,Maize,Other,FAQ,850,900,850,25-Jan-11
157,Jalgaon,Bhusaval,Maize,Other,FAQ,850,850,850,21-Jan-11
158,Jalgaon,Bhusaval,Maize,Other,FAQ,900,900,900,20-Jan-11
159,Jalgaon,Bhusaval,Maize,Other,FAQ,875,875,875,27-Dec-10
160,Jalgaon,Bhusaval,Maize,Other,FAQ,961,961,961,16-Jul-10
