"Min,Max,Modal Price from Maharashtra,Nashik[Maize],Dindori from 01-Jan-2010To23-Oct-2020 (Total-20) (Total-20)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Dindori,Maize,Other,FAQ,1500,1600,1564,9-Feb-20
2,Nashik,Dindori,Maize,Other,FAQ,1630,1710,1660,2-Feb-20
3,Nashik,Dindori,Maize,Other,FAQ,1710,1900,1860,5-Jan-20
4,Nashik,Dindori,Maize,Other,FAQ,1750,1870,1861,22-Dec-19
5,Nashik,Dindori,Maize,Other,FAQ,1600,1800,1700,3-Feb-19
6,Nashik,Dindori,Maize,Other,FAQ,1100,1172,1115,8-Jul-18
7,Nashik,Dindori,Maize,Other,FAQ,1300,1400,1350,24-Jun-18
8,Nashik,Dindori,Maize,Other,FAQ,1200,1300,1250,10-Jun-18
9,Nashik,Dindori,Maize,Other,FAQ,900,1075,1065,4-Feb-18
10,Nashik,Dindori,Maize,Other,FAQ,950,1075,1060,28-Jan-18
11,Nashik,Dindori,Maize,Other,FAQ,1080,1100,1090,14-Jan-18
12,Nashik,Dindori,Maize,Other,FAQ,1000,1075,1050,7-Jan-18
13,Nashik,Dindori,Maize,Other,FAQ,1050,1100,1076,31-Dec-17
14,Nashik,Dindori,Maize,Other,FAQ,1075,1100,1090,24-Dec-17
15,Nashik,Dindori,Maize,Other,FAQ,1025,1100,1051,17-Dec-17
16,Nashik,Dindori,Maize,Other,FAQ,900,1075,1025,10-Dec-17
17,Nashik,Dindori,Maize,Other,FAQ,1001,1089,1028,3-Dec-17
18,Nashik,Dindori,Maize,Other,FAQ,900,1050,1047,26-Nov-17
19,Nashik,Dindori,Maize,Other,FAQ,1000,1030,1005,19-Nov-17
20,Nashik,Dindori,Maize,Other,FAQ,1300,1360,1325,19-Mar-17
