"Min,Max,Modal Price from Maharashtra,Aurangabad[Maize],Gangapur from 01-Jan-2010To23-Oct-2020 (Total-835) (Total-835)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Aurangabad,Gangapur,Maize,Yellow,FAQ,850,1110,1110,8-Oct-20
2,Aurangabad,Gangapur,Maize,Yellow,FAQ,1151,1151,1151,7-Oct-20
3,Aurangabad,Gangapur,Maize,Yellow,FAQ,1221,1221,1221,6-Oct-20
4,Aurangabad,Gangapur,Maize,Yellow,FAQ,1061,1061,1061,1-Oct-20
5,Aurangabad,Gangapur,Maize,Yellow,FAQ,1065,1065,1065,29-Sep-20
6,Aurangabad,Gangapur,Maize,Yellow,FAQ,851,1001,996,28-Sep-20
7,Aurangabad,Gangapur,Maize,Yellow,FAQ,1100,1115,1115,26-Sep-20
8,Aurangabad,Gangapur,Maize,Yellow,FAQ,1275,1300,1285,11-Sep-20
9,Aurangabad,Gangapur,Maize,Yellow,FAQ,1000,1103,1103,8-Sep-20
10,Aurangabad,Gangapur,Maize,Yellow,FAQ,1185,1300,1226,5-Sep-20
11,Aurangabad,Gangapur,Maize,Yellow,FAQ,1200,1200,1200,28-Aug-20
12,Aurangabad,Gangapur,Maize,Yellow,FAQ,1100,1205,1145,24-Aug-20
13,Aurangabad,Gangapur,Maize,Yellow,FAQ,940,1060,1060,20-Aug-20
14,Aurangabad,Gangapur,Maize,Yellow,FAQ,1224,1224,1224,11-Aug-20
15,Aurangabad,Gangapur,Maize,Yellow,FAQ,1145,1145,1145,7-Aug-20
16,Aurangabad,Gangapur,Maize,Yellow,FAQ,1000,1100,1050,6-Aug-20
17,Aurangabad,Gangapur,Maize,Yellow,FAQ,1111,1300,1135,5-Aug-20
18,Aurangabad,Gangapur,Maize,Yellow,FAQ,1161,1330,1330,4-Aug-20
19,Aurangabad,Gangapur,Maize,Yellow,FAQ,1025,1190,1190,31-Jul-20
20,Aurangabad,Gangapur,Maize,Yellow,FAQ,4175,4175,4175,30-Jul-20
21,Aurangabad,Gangapur,Maize,Yellow,FAQ,1130,1276,1235,29-Jul-20
22,Aurangabad,Gangapur,Maize,Yellow,FAQ,1176,1260,1260,28-Jul-20
23,Aurangabad,Gangapur,Maize,Yellow,FAQ,1235,1235,1235,22-Jul-20
24,Aurangabad,Gangapur,Maize,Yellow,FAQ,1200,1200,1200,15-Jul-20
