"Min,Max,Modal Price from Maharashtra,Jalgaon[Maize],Jalgaon(Masawat) from 01-Jan-2010To23-Oct-2020 (Total-533) (Total-533)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,850,850,850,14-Oct-20
2,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,850,850,850,13-Oct-20
3,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,935,1031,950,12-Oct-20
4,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,900,1050,950,10-Oct-20
5,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,900,950,925,9-Oct-20
6,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,850,900,875,8-Oct-20
7,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,975,975,975,6-Oct-20
8,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1100,1100,1100,1-Oct-20
9,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1150,1150,1150,10-Jun-20
10,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1150,1150,1150,5-Jun-20
11,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1150,1150,1150,4-Jun-20
12,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1150,1150,1150,2-Jun-20
13,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1131,1151,1141,30-May-20
14,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1100,1150,1125,29-May-20
15,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1121,1165,1141,28-May-20
16,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1100,1150,1125,27-May-20
17,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1100,1121,1115,26-May-20
18,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1075,1125,1100,23-May-20
19,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1050,1150,1100,22-May-20
20,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,975,1025,1000,9-May-20
21,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1151,1151,1151,16-Apr-20
22,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1315,1315,1315,7-Apr-20
23,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1500,1500,1500,1-Apr-20
24,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1385,1385,1385,29-Feb-20
25,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1350,1350,1350,28-Feb-20
26,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1450,1450,1450,20-Feb-20
27,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1490,1490,1490,21-Jan-20
28,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1450,1450,1450,16-Jan-20
29,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1450,1450,1450,14-Jan-20
30,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1785,1785,1785,10-Jan-20
31,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1431,1431,1431,7-Jan-20
32,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1451,1451,1451,6-Jan-20
33,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1600,1600,1600,1-Jan-20
34,Jalgaon,Jalgaon(Masawat),Maize,Deshi Red,FAQ,1786,1786,1786,19-Dec-19
