"Min,Max,Modal Price from Maharashtra,Jalgaon[Maize],Jalgaon from 01-Jan-2010To23-Oct-2020 (Total-888) (Total-888)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1100,1100,1100,13-Oct-20
2,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1600,1600,1600,23-Sep-20
3,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1200,1200,1200,9-Sep-20
4,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1900,2300,2150,2-Sep-20
5,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1150,1150,1150,31-Aug-20
6,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1075,1075,1075,29-Aug-20
7,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1200,1200,1200,28-Aug-20
8,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,31-Jul-20
9,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,28-Jul-20
10,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,27-Jul-20
11,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,10-Jul-20
12,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,8-Jul-20
13,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,6-Jul-20
14,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,3-Jul-20
15,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,2-Jul-20
16,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,23-Jun-20
17,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,20-Jun-20
18,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,19-Jun-20
19,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,18-Jun-20
20,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1100,1760,1760,17-Jun-20
21,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,16-Jun-20
22,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,12-Jun-20
23,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,11-Jun-20
24,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1050,1061,1061,10-Jun-20
25,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,9-Jun-20
26,Jalgaon,Jalgaon,Maize,Deshi White,FAQ,1050,1200,1200,9-Jun-20
27,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1760,1760,1760,6-Jun-20
28,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1111,1111,1111,22-May-20
29,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1100,1100,1100,20-May-20
30,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1325,1325,1325,18-Feb-20
31,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1600,1600,1600,20-Jan-20
32,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1661,1661,1661,18-Jan-20
33,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1950,1950,1950,3-Jan-20
34,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1900,1900,1900,27-Dec-19
35,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1500,1500,1500,26-Dec-19
36,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1375,1725,1375,19-Dec-19
37,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1600,1900,1800,16-Dec-19
38,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1500,1500,1500,12-Dec-19
39,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1875,1875,1875,10-Dec-19
40,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1300,1300,1300,9-Dec-19
41,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1750,1750,1750,7-Dec-19
42,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1510,1510,1510,6-Dec-19
43,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1500,1950,1950,3-Dec-19
44,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1300,1811,1811,30-Nov-19
45,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1200,1700,1200,28-Nov-19
46,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1300,1300,1300,27-Nov-19
47,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1375,1375,1375,25-Nov-19
48,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1450,1450,1450,22-Nov-19
49,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1450,1450,1450,21-Nov-19
50,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1900,1900,1900,20-Nov-19
51,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1400,2100,1400,16-Nov-19
52,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,1200,1200,1200,6-Nov-19
53,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,2300,2300,2300,18-Oct-19
54,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,2100,2100,2100,6-Sep-19
55,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,2150,2150,2150,22-Aug-19
56,Jalgaon,Jalgaon,Maize,Deshi Red,FAQ,2000,2200,2200,17-Jul-19
