"Min,Max,Modal Price from Maharashtra,Beed[Maize],Kille Dharur from 01-Jan-2010To23-Oct-2020 (Total-509) (Total-509)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Beed,Kille Dharur,Maize,Deshi Red,FAQ,700,1170,981,12-Oct-20
2,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1000,1200,1200,9-Oct-20
3,Beed,Kille Dharur,Maize,Deshi Red,FAQ,999,1031,999,28-Sep-20
4,Beed,Kille Dharur,Maize,Deshi Red,FAQ,980,1100,980,21-Sep-20
5,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1000,1000,1000,7-Sep-20
6,Beed,Kille Dharur,Maize,Deshi Red,FAQ,901,1082,1026,4-Sep-20
7,Beed,Kille Dharur,Maize,Deshi Red,FAQ,941,1150,1000,28-Aug-20
8,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1170,1191,1170,14-Aug-20
9,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1170,1170,1170,4-Aug-20
10,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1000,1200,1000,27-Jul-20
11,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1150,1250,1200,24-Jul-20
12,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1040,1250,1250,21-Jul-20
13,Beed,Kille Dharur,Maize,Deshi Red,FAQ,880,880,880,18-Jul-20
14,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1000,1300,1000,17-Jul-20
15,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1100,1200,1100,13-Jul-20
16,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1200,1200,1200,10-Jul-20
17,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1000,1265,1265,29-Jun-20
18,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1201,1300,1251,19-Jun-20
19,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1341,1341,1341,15-Jun-20
20,Beed,Kille Dharur,Maize,Deshi Red,FAQ,800,1240,1240,8-Jun-20
21,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1299,1440,1440,5-Jun-20
22,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1300,1500,1400,25-May-20
23,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1350,1390,1350,18-May-20
24,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1465,1465,1465,11-May-20
25,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1400,1520,1450,8-May-20
26,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1701,1860,1860,6-Mar-20
27,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1400,1970,1900,11-Feb-20
28,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1400,1970,1900,10-Feb-20
29,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1500,1970,1899,3-Feb-20
30,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1300,1750,1750,31-Jan-20
31,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1835,2100,1900,27-Jan-20
32,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1760,2100,2100,21-Jan-20
33,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1760,2100,1851,20-Jan-20
34,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2300,2300,2300,18-Jan-20
35,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1931,2199,1931,17-Jan-20
36,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2000,2000,2000,14-Jan-20
37,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1680,2200,1680,6-Jan-20
38,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1851,2001,1912,23-Dec-19
39,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1800,1800,1800,17-Dec-19
40,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1891,1891,1891,9-Dec-19
41,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1300,1800,1400,3-Dec-19
42,Beed,Kille Dharur,Maize,Yellow,FAQ,2200,2200,2200,2-Dec-19
43,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1791,1811,1791,29-Nov-19
44,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2100,2100,2100,25-Nov-19
45,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1760,2000,2000,18-Nov-19
46,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1750,1750,1750,16-Nov-19
47,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2001,2400,2301,15-Nov-19
48,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2400,2740,2400,8-Nov-19
49,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2000,2200,2200,1-Nov-19
50,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1800,2500,1800,28-Oct-19
51,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2171,2171,2171,11-Oct-19
52,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1700,1700,1700,8-Oct-19
53,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2501,2706,2706,5-Oct-19
54,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2601,2601,2601,23-Sep-19
55,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2511,2601,2601,20-Sep-19
56,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2401,2401,2401,26-Aug-19
57,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2211,2211,2211,2-Aug-19
58,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2400,2400,2400,15-Jul-19
59,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2500,2600,2600,12-Jul-19
60,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2301,2370,2351,5-Jul-19
61,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2391,2570,2550,1-Jul-19
62,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2500,2600,2500,28-Jun-19
63,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1801,2250,2151,4-Jun-19
64,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2051,2051,2051,20-May-19
65,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1900,2121,2081,12-Apr-19
66,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1850,1890,1890,8-Apr-19
67,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1770,2300,2200,6-Apr-19
68,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2100,2302,2302,1-Apr-19
69,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2141,2141,2141,29-Mar-19
70,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2251,2251,2251,11-Mar-19
71,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2171,2171,2171,8-Mar-19
72,Beed,Kille Dharur,Maize,Deshi Red,FAQ,2151,2151,2151,5-Mar-19
73,Beed,Kille Dharur,Maize,Deshi Red,FAQ,1902,2091,2091,1-Mar-19
