"Min,Max,Modal Price from Maharashtra,Satara[Maize],Koregaon from 01-Jan-2010To23-Oct-2020 (Total-28) (Total-28)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Koregaon,Maize,Other,FAQ,2000,2100,2050,2-Mar-19
2,Satara,Koregaon,Maize,Other,FAQ,1400,1475,1450,8-Jan-16
3,Satara,Koregaon,Maize,Other,FAQ,1200,1250,1225,27-Feb-13
4,Satara,Koregaon,Maize,Other,FAQ,1150,1170,1160,27-May-11
5,Satara,Koregaon,Maize,Other,FAQ,1125,1160,1143,23-May-11
6,Satara,Koregaon,Maize,Other,FAQ,1170,1220,1195,13-May-11
7,Satara,Koregaon,Maize,Other,FAQ,1190,1225,1208,12-May-11
8,Satara,Koregaon,Maize,Other,FAQ,1100,1200,1150,9-May-11
9,Satara,Koregaon,Maize,Other,FAQ,1150,1180,1165,5-May-11
10,Satara,Koregaon,Maize,Other,FAQ,1125,1270,1198,2-May-11
11,Satara,Koregaon,Maize,Other,FAQ,1120,1200,1160,28-Apr-11
12,Satara,Koregaon,Maize,Other,FAQ,1110,1225,1168,25-Apr-11
13,Satara,Koregaon,Maize,Other,FAQ,1200,1250,1225,23-Apr-11
14,Satara,Koregaon,Maize,Other,FAQ,1200,1250,1225,21-Apr-11
15,Satara,Koregaon,Maize,Other,FAQ,1125,1150,1138,18-Apr-11
16,Satara,Koregaon,Maize,Other,FAQ,1120,1200,1160,15-Apr-11
17,Satara,Koregaon,Maize,Other,FAQ,1100,1120,1110,23-Mar-11
18,Satara,Koregaon,Maize,Other,FAQ,1100,1120,1110,22-Mar-11
19,Satara,Koregaon,Maize,Other,FAQ,840,925,883,6-Jan-11
20,Satara,Koregaon,Maize,Other,FAQ,875,945,910,27-Dec-10
21,Satara,Koregaon,Maize,Other,FAQ,900,925,913,20-Dec-10
22,Satara,Koregaon,Maize,Other,FAQ,900,925,913,10-Dec-10
23,Satara,Koregaon,Maize,Other,FAQ,900,925,913,9-Dec-10
24,Satara,Koregaon,Maize,Other,FAQ,855,855,855,20-May-10
25,Satara,Koregaon,Maize,Other,FAQ,840,840,840,19-May-10
26,Satara,Koregaon,Maize,Other,FAQ,850,850,850,17-May-10
27,Satara,Koregaon,Maize,Other,FAQ,850,850,850,15-May-10
28,Satara,Koregaon,Maize,Other,FAQ,840,865,853,13-May-10
