"Min,Max,Modal Price from Maharashtra,Satara[Maize],Lonand from 01-Jan-2010To23-Oct-2020 (Total-230) (Total-230)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Lonand,Maize,Deshi Red,FAQ,1780,1900,1850,21-Nov-19
2,Satara,Lonand,Maize,Deshi Red,FAQ,2550,2550,2550,12-Sep-19
3,Satara,Lonand,Maize,Deshi Red,FAQ,2200,2200,2200,11-Jul-19
4,Satara,Lonand,Maize,Deshi Red,FAQ,1900,2200,2100,27-Jun-19
5,Satara,Lonand,Maize,Deshi Red,FAQ,1905,1905,1905,20-Jun-19
6,Satara,Lonand,Maize,Deshi Red,FAQ,2000,2000,2000,13-Jun-19
7,Satara,Lonand,Maize,Deshi Red,FAQ,2200,2200,2200,6-Jun-19
8,Satara,Lonand,Maize,Deshi Red,FAQ,1800,1800,1800,11-Apr-19
9,Satara,Lonand,Maize,Deshi Red,FAQ,2000,2000,2000,28-Feb-19
10,Satara,Lonand,Maize,Deshi Red,FAQ,1750,1750,1750,27-Dec-18
11,Satara,Lonand,Maize,Deshi Red,FAQ,1750,1750,1750,20-Dec-18
12,Satara,Lonand,Maize,Deshi Red,FAQ,1750,1750,1750,13-Dec-18
13,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,16-Aug-18
14,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,5-Jul-18
15,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,22-Jun-18
16,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,31-May-18
17,Satara,Lonand,Maize,Deshi Red,FAQ,1430,1430,1430,24-May-18
18,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,17-May-18
19,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,10-May-18
20,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,3-May-18
21,Satara,Lonand,Maize,Deshi Red,FAQ,1430,1430,1430,26-Apr-18
22,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,19-Apr-18
23,Satara,Lonand,Maize,Deshi Red,FAQ,1475,1475,1475,12-Apr-18
24,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,5-Apr-18
25,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,22-Mar-18
26,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,1-Mar-18
27,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,22-Feb-18
28,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,4-Jan-18
29,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,21-Dec-17
30,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,7-Dec-17
31,Satara,Lonand,Maize,Deshi Red,FAQ,1450,1450,1450,16-Nov-17
32,Satara,Lonand,Maize,Deshi Red,FAQ,1425,1425,1425,9-Nov-17
