"Min,Max,Modal Price from Maharashtra,Amarawati[Maize],Morshi from 01-Jan-2010To22-Oct-2020 (Total-40) (Total-40)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Morshi,Maize,Other,FAQ,1000,1150,1100,21-Mar-20
2,Amarawati,Morshi,Maize,Other,FAQ,1500,1600,1550,14-Mar-20
3,Amarawati,Morshi,Maize,Other,FAQ,1300,1400,1350,4-Mar-20
4,Amarawati,Morshi,Maize,Other,FAQ,1500,1600,1550,26-Feb-20
5,Amarawati,Morshi,Maize,Other,FAQ,1500,1600,1550,22-Feb-20
6,Amarawati,Morshi,Maize,Other,FAQ,1500,1600,1550,19-Feb-20
7,Amarawati,Morshi,Maize,Other,FAQ,1600,1800,1700,15-Feb-20
8,Amarawati,Morshi,Maize,Other,FAQ,1600,1700,1650,12-Feb-20
9,Amarawati,Morshi,Maize,Other,FAQ,1600,1800,1700,8-Feb-20
10,Amarawati,Morshi,Maize,Other,FAQ,1300,1550,1425,5-Feb-20
11,Amarawati,Morshi,Maize,Other,FAQ,1600,1800,1700,1-Feb-20
12,Amarawati,Morshi,Maize,Other,FAQ,1600,1725,1662,29-Jan-20
13,Amarawati,Morshi,Maize,Other,FAQ,1600,1740,1670,25-Jan-20
14,Amarawati,Morshi,Maize,Other,FAQ,1600,1750,1675,22-Jan-20
15,Amarawati,Morshi,Maize,Other,FAQ,1500,1655,1577,18-Jan-20
16,Amarawati,Morshi,Maize,Other,FAQ,1400,1750,1575,16-Jan-20
17,Amarawati,Morshi,Maize,Other,FAQ,1800,2000,1900,11-Jan-20
18,Amarawati,Morshi,Maize,Other,FAQ,1830,1850,1840,4-Jan-20
19,Amarawati,Morshi,Maize,Other,FAQ,1700,1815,1758,28-Dec-19
20,Amarawati,Morshi,Maize,Other,FAQ,1640,1900,1770,25-Dec-19
21,Amarawati,Morshi,Maize,Other,FAQ,1700,1820,1760,21-Dec-19
22,Amarawati,Morshi,Maize,Other,FAQ,1600,2000,1800,18-Dec-19
23,Amarawati,Morshi,Maize,Other,FAQ,1700,1850,1775,14-Dec-19
24,Amarawati,Morshi,Maize,Other,FAQ,1550,1750,1650,11-Dec-19
25,Amarawati,Morshi,Maize,Other,FAQ,1600,1890,1745,7-Dec-19
26,Amarawati,Morshi,Maize,Other,FAQ,1500,1765,1632,4-Dec-19
27,Amarawati,Morshi,Maize,Other,FAQ,1300,1550,1425,30-Nov-19
28,Amarawati,Morshi,Maize,Other,FAQ,1200,1340,1270,27-Nov-19
29,Amarawati,Morshi,Maize,Other,FAQ,1300,1500,1400,23-Nov-19
30,Amarawati,Morshi,Maize,Other,FAQ,1300,1500,1400,20-Nov-19
31,Amarawati,Morshi,Maize,Other,FAQ,1600,1700,1675,16-Feb-19
32,Amarawati,Morshi,Maize,Other,FAQ,1400,1550,1475,1-Dec-18
33,Amarawati,Morshi,Maize,Other,FAQ,1250,1300,1275,24-Nov-18
34,Amarawati,Morshi,Maize,Other,FAQ,1200,1250,1225,21-Nov-18
35,Amarawati,Morshi,Maize,Other,FAQ,1100,1370,1235,17-Nov-18
36,Amarawati,Morshi,Maize,Other,FAQ,1200,1250,1228,14-Nov-18
37,Amarawati,Morshi,Maize,Other,FAQ,1000,1200,1090,10-Nov-18
38,Amarawati,Morshi,Maize,Other,FAQ,1000,1150,1075,3-Nov-18
39,Amarawati,Morshi,Maize,Other,FAQ,1200,1300,1250,31-Oct-18
40,Amarawati,Morshi,Maize,Other,FAQ,1200,1300,1250,27-Oct-18
