"Min,Max,Modal Price from Maharashtra,Nashik[Maize],Nandgaon from 01-Jan-2010To23-Oct-2020 (Total-1376) (Total-1376)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Nandgaon,Maize,Yellow,FAQ,600,1292,1175,14-Oct-20
2,Nashik,Nandgaon,Maize,Yellow,FAQ,738,1275,1151,13-Oct-20
3,Nashik,Nandgaon,Maize,Yellow,FAQ,752,1283,1120,12-Oct-20
4,Nashik,Nandgaon,Maize,Yellow,FAQ,611,1291,1170,9-Oct-20
5,Nashik,Nandgaon,Maize,Yellow,FAQ,801,1296,1199,8-Oct-20
6,Nashik,Nandgaon,Maize,Yellow,FAQ,400,1291,1150,7-Oct-20
7,Nashik,Nandgaon,Maize,Yellow,FAQ,753,1296,1150,6-Oct-20
8,Nashik,Nandgaon,Maize,Yellow,FAQ,750,1301,1200,5-Oct-20
9,Nashik,Nandgaon,Maize,Yellow,FAQ,775,1300,1221,3-Oct-20
10,Nashik,Nandgaon,Maize,Yellow,FAQ,811,1290,1191,1-Oct-20
11,Nashik,Nandgaon,Maize,Yellow,FAQ,988,1700,1191,30-Sep-20
12,Nashik,Nandgaon,Maize,Yellow,FAQ,839,1230,1185,29-Sep-20
13,Nashik,Nandgaon,Maize,Yellow,FAQ,900,1231,1150,28-Sep-20
14,Nashik,Nandgaon,Maize,Yellow,FAQ,699,1231,1151,26-Sep-20
15,Nashik,Nandgaon,Maize,Yellow,FAQ,600,1241,1151,25-Sep-20
16,Nashik,Nandgaon,Maize,Yellow,FAQ,799,1241,1150,23-Sep-20
17,Nashik,Nandgaon,Maize,Yellow,FAQ,721,1259,1151,22-Sep-20
18,Nashik,Nandgaon,Maize,Yellow,FAQ,731,1235,1151,21-Sep-20
19,Nashik,Nandgaon,Maize,Yellow,FAQ,300,1231,1125,18-Sep-20
20,Nashik,Nandgaon,Maize,Yellow,FAQ,742,1198,1150,16-Sep-20
21,Nashik,Nandgaon,Maize,Yellow,FAQ,740,1200,1150,15-Sep-20
22,Nashik,Nandgaon,Maize,Yellow,FAQ,840,1210,1151,14-Sep-20
23,Nashik,Nandgaon,Maize,Yellow,FAQ,850,1247,1175,12-Sep-20
24,Nashik,Nandgaon,Maize,Yellow,FAQ,900,1251,1150,11-Sep-20
25,Nashik,Nandgaon,Maize,Yellow,FAQ,1050,1265,1181,10-Sep-20
26,Nashik,Nandgaon,Maize,Yellow,FAQ,1100,1270,1175,9-Sep-20
27,Nashik,Nandgaon,Maize,Yellow,FAQ,1010,1270,1150,8-Sep-20
28,Nashik,Nandgaon,Maize,Yellow,FAQ,999,1272,1150,7-Sep-20
29,Nashik,Nandgaon,Maize,Yellow,FAQ,900,1231,1151,5-Sep-20
30,Nashik,Nandgaon,Maize,Yellow,FAQ,1003,1229,1150,4-Sep-20
31,Nashik,Nandgaon,Maize,Yellow,FAQ,1000,1232,1151,3-Sep-20
32,Nashik,Nandgaon,Maize,Yellow,FAQ,1126,1200,1181,2-Sep-20
33,Nashik,Nandgaon,Maize,Yellow,FAQ,1040,1195,1151,29-Aug-20
34,Nashik,Nandgaon,Maize,Yellow,FAQ,1150,1170,1161,28-Aug-20
35,Nashik,Nandgaon,Maize,Yellow,FAQ,1100,1201,1151,27-Aug-20
36,Nashik,Nandgaon,Maize,Yellow,FAQ,1008,1214,1161,26-Aug-20
