"Min,Max,Modal Price from Maharashtra,Nagpur[Maize],Narkhed from 01-Jan-2010To23-Oct-2020 (Total-11) (Total-11)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,26-Dec-18
2,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,20-Dec-18
3,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,19-Dec-18
4,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,15-Dec-18
5,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,14-Dec-18
6,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,13-Dec-18
7,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,12-Dec-18
8,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,6-Dec-18
9,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,5-Dec-18
10,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,4-Dec-18
11,Nagpur,Narkhed,Maize,Yellow,FAQ,1700,1700,1700,3-Dec-18
