"Min,Max,Modal Price from Maharashtra,Osmanabad[Maize],Osmanabad from 01-Jan-2010To23-Oct-2020 (Total-74) (Total-74)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1400,1400,1400,23-Oct-16
2,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1470,1470,1470,16-Oct-16
3,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1800,1800,1800,22-Sep-16
4,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1686,1686,1686,2-Jun-16
5,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1401,1401,1401,17-Apr-16
6,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1401,1401,1401,28-Jan-16
7,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1101,1451,1301,18-Jul-13
8,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1200,1271,1250,6-Jan-13
9,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1307,1307,1307,27-Dec-12
10,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1159,1200,1175,9-Dec-12
11,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1200,1256,1225,6-Dec-12
12,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1495,1495,1495,2-Sep-12
13,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1300,1300,1300,5-Aug-12
14,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1570,1570,1570,26-Jul-12
15,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1400,1426,1415,22-Jul-12
16,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1200,1200,1200,1-Jul-12
17,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1200,1200,1200,28-Jun-12
18,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,995,1070,1032,27-May-12
19,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1000,1000,1000,24-May-12
20,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,961,1000,980,17-May-12
21,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1020,1151,1100,3-May-12
22,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1101,1101,1101,8-Apr-12
23,Osmanabad,Osmanabad,Maize,Deshi Red,FAQ,1131,1131,1131,23-Feb-12
