"Min,Max,Modal Price from Maharashtra,Jalgaon[Maize],Jamner(Neri) from 01-Jan-2010To23-Oct-2020 (Total-1587) (Total-1587)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,16-Nov-18
2,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,15-Nov-18
3,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,14-Nov-18
4,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,13-Nov-18
5,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,12-Nov-18
6,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,10-Nov-18
7,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,3-Nov-18
8,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,2-Nov-18
9,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,1-Nov-18
10,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,31-Oct-18
11,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,30-Oct-18
12,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,29-Oct-18
13,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,27-Oct-18
14,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,26-Oct-18
15,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,25-Oct-18
16,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,24-Oct-18
17,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,23-Oct-18
18,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,22-Oct-18
19,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,20-Oct-18
20,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,19-Oct-18
21,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,17-Oct-18
22,Jalgaon,Jamner(Neri),Maize,Deshi Red,FAQ,1700,1700,1700,16-Oct-18
