"Min,Max,Modal Price from Maharashtra,Sholapur[Maize],Pandharpur from 01-Jan-2010To23-Oct-2020 (Total-999) (Total-999)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1325,1325,1325,8-Oct-20
2,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1290,1335,1330,6-Oct-20
3,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1270,1335,1300,5-Oct-20
4,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1200,1335,1300,29-Sep-20
5,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1285,1330,1330,28-Sep-20
6,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1320,1340,1325,24-Sep-20
7,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1300,1305,1300,22-Sep-20
8,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1270,1311,1311,16-Sep-20
9,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1280,1320,1305,15-Sep-20
10,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1270,1320,1320,11-Sep-20
11,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1270,1300,1280,9-Sep-20
12,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1300,1310,1300,8-Sep-20
13,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1260,1311,1290,7-Sep-20
14,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1300,1320,1320,5-Sep-20
15,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1300,1300,1300,4-Sep-20
16,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1310,1330,1330,3-Sep-20
17,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1225,1320,1300,2-Sep-20
18,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1290,1290,1290,29-Aug-20
19,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1290,1300,1300,27-Aug-20
20,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1280,1310,1300,25-Aug-20
21,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1290,1335,1330,20-Aug-20
22,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1320,1340,1320,6-Aug-20
23,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1270,1270,1270,5-Aug-20
24,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1250,1330,1320,3-Aug-20
25,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1240,1305,1305,30-Jul-20
26,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1320,1325,1320,29-Jul-20
27,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1325,1325,1325,28-Jul-20
28,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1330,1330,1330,27-Jul-20
29,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1340,1340,1340,24-Jul-20
30,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1350,1350,1350,22-Jul-20
31,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1350,1360,1360,21-Jul-20
32,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1350,1350,1350,20-Jul-20
33,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1355,1355,1355,18-Jul-20
34,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1350,1360,1350,16-Jul-20
35,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1260,1360,1350,15-Jul-20
36,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1350,1360,1360,14-Jul-20
37,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1275,1400,1370,13-Jul-20
38,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1380,1400,1400,9-Jul-20
39,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1390,1390,1390,7-Jul-20
40,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1395,1395,1395,4-Jul-20
41,Sholapur,Pandharpur,Maize,Deshi Red,FAQ,1420,1420,1420,3-Jul-20
