"Min,Max,Modal Price from Maharashtra,Pune[Maize],Pune from 01-Jan-2010To23-Oct-2020 (Total-1115) (Total-1115)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,15-Oct-20
2,Pune,Pune,Maize,Deshi Red,FAQ,1850,1900,1875,14-Oct-20
3,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,13-Oct-20
4,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,12-Oct-20
5,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,10-Oct-20
6,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,9-Oct-20
7,Pune,Pune,Maize,Deshi Red,FAQ,1900,2000,1950,8-Oct-20
8,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,7-Oct-20
9,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,6-Oct-20
10,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,5-Oct-20
11,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,3-Oct-20
12,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,2-Oct-20
13,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,1-Oct-20
14,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,30-Sep-20
15,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,29-Sep-20
16,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,28-Sep-20
17,Pune,Pune,Maize,Deshi Red,FAQ,1800,1950,1900,26-Sep-20
18,Pune,Pune,Maize,Deshi Red,FAQ,1800,1950,1900,25-Sep-20
19,Pune,Pune,Maize,Deshi Red,FAQ,1800,2000,1950,24-Sep-20
20,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,23-Sep-20
21,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,22-Sep-20
22,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,21-Sep-20
23,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,19-Sep-20
24,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,18-Sep-20
25,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1900,17-Sep-20
26,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,16-Sep-20
27,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,15-Sep-20
28,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,14-Sep-20
29,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,12-Sep-20
30,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,11-Sep-20
31,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,10-Sep-20
32,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,9-Sep-20
33,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,8-Sep-20
34,Pune,Pune,Maize,Deshi Red,FAQ,1850,1950,1925,7-Sep-20
35,Pune,Pune,Maize,Deshi Red,FAQ,1800,1900,1850,5-Sep-20
