"Min,Max,Modal Price from Maharashtra,Sholapur[Maize],Sangola from 01-Jan-2010To23-Oct-2020 (Total-102) (Total-102)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Sangola,Maize,Other,FAQ,1500,1500,1500,6-Aug-12
2,Sholapur,Sangola,Maize,Other,FAQ,1500,1500,1500,30-Jul-12
3,Sholapur,Sangola,Maize,Other,FAQ,1450,1450,1450,23-Jul-12
4,Sholapur,Sangola,Maize,Other,FAQ,1385,1385,1385,16-Jul-12
5,Sholapur,Sangola,Maize,Other,FAQ,1275,1300,1275,2-Jul-12
6,Sholapur,Sangola,Maize,Other,FAQ,1200,1200,1200,26-Jun-12
7,Sholapur,Sangola,Maize,Other,FAQ,1200,1250,1225,18-Jun-12
8,Sholapur,Sangola,Maize,Other,FAQ,1100,1150,1125,14-May-12
9,Sholapur,Sangola,Maize,Other,FAQ,1160,1170,1165,7-May-12
10,Sholapur,Sangola,Maize,Other,FAQ,1100,1175,1150,16-Apr-12
11,Sholapur,Sangola,Maize,Other,FAQ,1190,1200,1195,9-Apr-12
12,Sholapur,Sangola,Maize,Other,FAQ,1175,1180,1177,2-Apr-12
13,Sholapur,Sangola,Maize,Other,FAQ,1170,1180,1175,26-Mar-12
14,Sholapur,Sangola,Maize,Other,FAQ,1151,1180,1165,19-Mar-12
15,Sholapur,Sangola,Maize,Other,FAQ,1150,1165,1160,12-Mar-12
16,Sholapur,Sangola,Maize,Other,FAQ,1170,1180,1175,5-Mar-12
17,Sholapur,Sangola,Maize,Other,FAQ,1180,1190,1185,2-Mar-12
18,Sholapur,Sangola,Maize,Other,FAQ,1180,1190,1185,27-Feb-12
19,Sholapur,Sangola,Maize,Other,FAQ,1190,1190,1190,21-Feb-12
20,Sholapur,Sangola,Maize,Other,FAQ,1190,1191,1190,13-Feb-12
21,Sholapur,Sangola,Maize,Other,FAQ,1175,1175,1175,6-Feb-12
22,Sholapur,Sangola,Maize,Other,FAQ,1167,1180,1175,3-Feb-12
23,Sholapur,Sangola,Maize,Other,FAQ,1160,1175,1170,30-Jan-12
24,Sholapur,Sangola,Maize,Other,FAQ,1180,1200,1190,16-Jan-12
25,Sholapur,Sangola,Maize,Other,FAQ,1130,1140,1140,9-Jan-12
26,Sholapur,Sangola,Maize,Other,FAQ,1025,1960,1030,5-Dec-11
27,Sholapur,Sangola,Maize,Other,FAQ,1025,1050,1040,28-Nov-11
28,Sholapur,Sangola,Maize,Other,FAQ,1050,1150,1100,14-Nov-11
29,Sholapur,Sangola,Maize,Other,FAQ,1000,1100,1050,24-Oct-11
30,Sholapur,Sangola,Maize,Other,FAQ,1150,1200,1150,17-Oct-11
31,Sholapur,Sangola,Maize,Other,FAQ,1250,1260,1255,10-Oct-11
32,Sholapur,Sangola,Maize,Other,FAQ,1200,1260,1225,3-Oct-11
33,Sholapur,Sangola,Maize,Other,FAQ,1240,1240,1240,26-Sep-11
34,Sholapur,Sangola,Maize,Other,FAQ,1250,1260,1255,19-Sep-11
35,Sholapur,Sangola,Maize,Other,FAQ,1250,1250,1250,5-Sep-11
36,Sholapur,Sangola,Maize,Other,FAQ,1250,1250,1250,29-Aug-11
37,Sholapur,Sangola,Maize,Other,FAQ,1200,1260,1230,8-Aug-11
38,Sholapur,Sangola,Maize,Other,FAQ,1150,1200,1175,1-Aug-11
39,Sholapur,Sangola,Maize,Other,FAQ,1200,1240,1220,18-Jul-11
40,Sholapur,Sangola,Maize,Other,FAQ,1175,1230,1200,11-Jul-11
41,Sholapur,Sangola,Maize,Other,FAQ,1150,1150,1150,4-Jul-11
42,Sholapur,Sangola,Maize,Other,FAQ,1200,1240,1215,27-Jun-11
43,Sholapur,Sangola,Maize,Other,FAQ,1190,1190,1190,20-Jun-11
44,Sholapur,Sangola,Maize,Other,FAQ,1150,1150,1150,13-Jun-11
45,Sholapur,Sangola,Maize,Other,FAQ,1150,1150,1150,6-Jun-11
46,Sholapur,Sangola,Maize,Other,FAQ,1150,1150,1150,30-May-11
47,Sholapur,Sangola,Maize,Other,FAQ,1150,1150,1150,23-May-11
48,Sholapur,Sangola,Maize,Other,FAQ,1200,1200,1200,16-May-11
49,Sholapur,Sangola,Maize,Other,FAQ,1240,1240,1240,9-May-11
50,Sholapur,Sangola,Maize,Other,FAQ,1250,1250,1250,25-Apr-11
51,Sholapur,Sangola,Maize,Other,FAQ,1250,1250,1250,18-Apr-11
52,Sholapur,Sangola,Maize,Other,FAQ,1225,1250,1230,11-Apr-11
53,Sholapur,Sangola,Maize,Other,FAQ,1185,1185,1185,4-Apr-11
54,Sholapur,Sangola,Maize,Other,FAQ,1165,1175,1170,28-Mar-11
55,Sholapur,Sangola,Maize,Other,FAQ,1130,1130,1130,21-Mar-11
56,Sholapur,Sangola,Maize,Other,FAQ,1100,1100,1100,14-Mar-11
57,Sholapur,Sangola,Maize,Other,FAQ,1065,1100,1075,7-Mar-11
58,Sholapur,Sangola,Maize,Other,FAQ,1025,1025,1025,28-Feb-11
59,Sholapur,Sangola,Maize,Other,FAQ,1015,1015,1015,21-Feb-11
60,Sholapur,Sangola,Maize,Other,FAQ,1005,1005,1005,14-Feb-11
61,Sholapur,Sangola,Maize,Other,FAQ,1000,1000,1000,7-Feb-11
62,Sholapur,Sangola,Maize,Other,FAQ,975,1000,980,31-Jan-11
63,Sholapur,Sangola,Maize,Other,FAQ,930,930,930,3-Jan-11
64,Sholapur,Sangola,Maize,Other,FAQ,925,935,930,27-Dec-10
65,Sholapur,Sangola,Maize,Other,FAQ,910,925,915,20-Dec-10
66,Sholapur,Sangola,Maize,Other,FAQ,910,925,915,14-Dec-10
67,Sholapur,Sangola,Maize,Other,FAQ,930,930,930,6-Dec-10
68,Sholapur,Sangola,Maize,Other,FAQ,930,930,930,29-Nov-10
69,Sholapur,Sangola,Maize,Other,FAQ,1600,1600,1600,23-Nov-10
70,Sholapur,Sangola,Maize,Other,FAQ,910,915,911,16-Nov-10
71,Sholapur,Sangola,Maize,Other,FAQ,900,900,900,8-Nov-10
