"Min,Max,Modal Price from Maharashtra,Ahmednagar[Maize],Shrirampur from 01-Jan-2010To22-Oct-2020 (Total-1313) (Total-1313)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,6-Oct-20
2,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,1-Oct-20
3,Ahmednagar,Shrirampur,Maize,Other,FAQ,850,1050,950,21-Sep-20
4,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,12-Sep-20
5,Ahmednagar,Shrirampur,Maize,Other,FAQ,1150,1150,1150,11-Sep-20
6,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1200,1100,9-Sep-20
7,Ahmednagar,Shrirampur,Maize,Other,FAQ,950,1150,1100,8-Sep-20
8,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1050,1050,7-Sep-20
9,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1200,1200,5-Sep-20
10,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1200,1200,4-Sep-20
11,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1250,1150,2-Sep-20
12,Ahmednagar,Shrirampur,Maize,Other,FAQ,1150,1612,1350,28-Aug-20
13,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,26-Aug-20
14,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,25-Aug-20
15,Ahmednagar,Shrirampur,Maize,Other,FAQ,900,1050,1000,24-Aug-20
16,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,19-Aug-20
17,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,10-Aug-20
18,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,7-Aug-20
19,Ahmednagar,Shrirampur,Maize,Other,FAQ,1150,1150,1150,5-Aug-20
20,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,3-Aug-20
21,Ahmednagar,Shrirampur,Maize,Other,FAQ,1241,1241,1241,31-Jul-20
22,Ahmednagar,Shrirampur,Maize,Other,FAQ,1151,1151,1151,30-Jul-20
23,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,28-Jul-20
24,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,27-Jul-20
25,Ahmednagar,Shrirampur,Maize,Other,FAQ,900,1175,1100,24-Jul-20
26,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1200,1200,18-Jul-20
27,Ahmednagar,Shrirampur,Maize,Other,FAQ,1051,1051,1051,17-Jul-20
28,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1050,1050,16-Jul-20
29,Ahmednagar,Shrirampur,Maize,Other,FAQ,1111,1111,1111,15-Jul-20
30,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1700,1250,10-Jul-20
31,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,7-Jul-20
32,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1000,1000,6-Jul-20
33,Ahmednagar,Shrirampur,Maize,Other,FAQ,1175,1175,1175,30-Jun-20
34,Ahmednagar,Shrirampur,Maize,Other,FAQ,1151,1200,1175,29-Jun-20
35,Ahmednagar,Shrirampur,Maize,Other,FAQ,900,1251,1100,27-Jun-20
36,Ahmednagar,Shrirampur,Maize,Other,FAQ,1075,1200,1100,24-Jun-20
37,Ahmednagar,Shrirampur,Maize,Other,FAQ,1250,1250,1250,23-Jun-20
38,Ahmednagar,Shrirampur,Maize,Other,FAQ,1150,1265,1200,22-Jun-20
39,Ahmednagar,Shrirampur,Maize,Other,FAQ,1075,1200,1100,17-Jun-20
40,Ahmednagar,Shrirampur,Maize,Other,FAQ,1111,1250,1150,16-Jun-20
41,Ahmednagar,Shrirampur,Maize,Other,FAQ,1011,1250,1150,15-Jun-20
42,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1250,1125,13-Jun-20
43,Ahmednagar,Shrirampur,Maize,Other,FAQ,900,1225,1100,12-Jun-20
44,Ahmednagar,Shrirampur,Maize,Other,FAQ,900,1150,1050,10-Jun-20
45,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1200,1150,9-Jun-20
46,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1250,1150,8-Jun-20
47,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1231,1225,6-Jun-20
48,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1211,1150,5-Jun-20
49,Ahmednagar,Shrirampur,Maize,Other,FAQ,1025,1140,1050,4-Jun-20
50,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1151,1125,2-Jun-20
51,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1187,1050,1-Jun-20
52,Ahmednagar,Shrirampur,Maize,Other,FAQ,1025,1175,1050,30-May-20
53,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1200,1100,29-May-20
54,Ahmednagar,Shrirampur,Maize,Other,FAQ,1125,1125,1125,28-May-20
55,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1225,1100,27-May-20
56,Ahmednagar,Shrirampur,Maize,Other,FAQ,950,1100,1000,26-May-20
57,Ahmednagar,Shrirampur,Maize,Other,FAQ,950,1125,1000,23-May-20
58,Ahmednagar,Shrirampur,Maize,Other,FAQ,1050,1130,1100,22-May-20
59,Ahmednagar,Shrirampur,Maize,Other,FAQ,850,1100,1000,21-May-20
60,Ahmednagar,Shrirampur,Maize,Other,FAQ,800,1095,1000,20-May-20
61,Ahmednagar,Shrirampur,Maize,Other,FAQ,950,1090,1000,19-May-20
62,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1160,1125,18-May-20
63,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1150,1100,15-May-20
64,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,14-May-20
65,Ahmednagar,Shrirampur,Maize,Other,FAQ,1185,1500,1450,13-May-20
66,Ahmednagar,Shrirampur,Maize,Other,FAQ,851,851,851,12-May-20
67,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1200,1150,8-May-20
68,Ahmednagar,Shrirampur,Maize,Other,FAQ,1000,1011,1005,6-May-20
69,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1100,1100,5-May-20
70,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1400,1350,4-May-20
71,Ahmednagar,Shrirampur,Maize,Other,FAQ,1350,1350,1350,1-Apr-20
72,Ahmednagar,Shrirampur,Maize,Other,FAQ,1201,1201,1201,20-Mar-20
73,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1200,1200,18-Mar-20
74,Ahmednagar,Shrirampur,Maize,Other,FAQ,2200,2200,2200,17-Mar-20
75,Ahmednagar,Shrirampur,Maize,Other,FAQ,1100,1151,1125,16-Mar-20
76,Ahmednagar,Shrirampur,Maize,Other,FAQ,1375,1375,1375,13-Mar-20
77,Ahmednagar,Shrirampur,Maize,Other,FAQ,1151,1151,1151,12-Mar-20
78,Ahmednagar,Shrirampur,Maize,Other,FAQ,1200,1200,1200,9-Mar-20
79,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1400,1400,7-Mar-20
80,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1401,1400,18-Feb-20
81,Ahmednagar,Shrirampur,Maize,Other,FAQ,1375,1500,1450,14-Feb-20
82,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1440,1425,13-Feb-20
83,Ahmednagar,Shrirampur,Maize,Other,FAQ,1520,1520,1520,12-Feb-20
84,Ahmednagar,Shrirampur,Maize,Other,FAQ,1450,1450,1450,11-Feb-20
85,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1500,1500,10-Feb-20
86,Ahmednagar,Shrirampur,Maize,Other,FAQ,1600,1600,1600,7-Feb-20
87,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1500,1500,30-Jan-20
88,Ahmednagar,Shrirampur,Maize,Other,FAQ,1650,1650,1650,29-Jan-20
89,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1675,1550,28-Jan-20
90,Ahmednagar,Shrirampur,Maize,Other,FAQ,1550,1625,1575,27-Jan-20
91,Ahmednagar,Shrirampur,Maize,Other,FAQ,1425,1525,1475,25-Jan-20
92,Ahmednagar,Shrirampur,Maize,Other,FAQ,1600,1625,1610,24-Jan-20
93,Ahmednagar,Shrirampur,Maize,Other,FAQ,1620,1620,1620,23-Jan-20
94,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1750,1575,22-Jan-20
95,Ahmednagar,Shrirampur,Maize,Other,FAQ,1250,1700,1565,21-Jan-20
96,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1641,1500,20-Jan-20
97,Ahmednagar,Shrirampur,Maize,Other,FAQ,1575,1575,1575,18-Jan-20
98,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1750,1600,17-Jan-20
99,Ahmednagar,Shrirampur,Maize,Other,FAQ,1600,1750,1700,16-Jan-20
100,Ahmednagar,Shrirampur,Maize,Other,FAQ,1551,1551,1551,14-Jan-20
101,Ahmednagar,Shrirampur,Maize,Deshi White,FAQ,2300,2300,2300,13-Jan-20
102,Ahmednagar,Shrirampur,Maize,Other,FAQ,1600,1700,1650,13-Jan-20
103,Ahmednagar,Shrirampur,Maize,Other,FAQ,1400,1620,1550,11-Jan-20
104,Ahmednagar,Shrirampur,Maize,Other,FAQ,1550,1800,1675,10-Jan-20
105,Ahmednagar,Shrirampur,Maize,Other,FAQ,1600,1850,1700,9-Jan-20
106,Ahmednagar,Shrirampur,Maize,Other,FAQ,1500,1775,1600,7-Jan-20
107,Ahmednagar,Shrirampur,Maize,Other,FAQ,1800,1800,1800,4-Jan-20
108,Ahmednagar,Shrirampur,Maize,Other,FAQ,1775,1875,1800,2-Jan-20
